#      x          Cp  
     1.00000    0.11041
     0.99062    0.10289
     0.97870    0.09253
     0.96541    0.08022
     0.95072    0.06577
     0.93479    0.04927
     0.91805    0.03112
     0.90091    0.01180
     0.88357   -0.00840
     0.86606   -0.02933
     0.84841   -0.05083
     0.83065   -0.07274
     0.81285   -0.09495
     0.79502   -0.11737
     0.77718   -0.13999
     0.75932   -0.16278
     0.74146   -0.18572
     0.72360   -0.20883
     0.70573   -0.23211
     0.68788   -0.25560
     0.67003   -0.27929
     0.65220   -0.30317
     0.63437   -0.32721
     0.61654   -0.35151
     0.59872   -0.37620
     0.58091   -0.40141
     0.56312   -0.42709
     0.54535   -0.45319
     0.52759   -0.47975
     0.50984   -0.50697
     0.49211   -0.53515
     0.47445   -0.56427
     0.45686   -0.59383
     0.43930   -0.62324
     0.42173   -0.65274
     0.40416   -0.68341
     0.38668   -0.71681
     0.36942   -0.75071
     0.35239   -0.78073
     0.33552   -0.80059
     0.31872   -0.81811
     0.30188   -0.84525
     0.28494   -0.89892
     0.26785   -0.96453
     0.25069   -1.02954
     0.23361   -1.10349
     0.21675   -1.18530
     0.20017   -1.27414
     0.18395   -1.37002
     0.16817   -1.47333
     0.15291   -1.58324
     0.13828   -1.69786
     0.12436   -1.82131
     0.11128   -1.97955
     0.09913   -2.25853
     0.08797   -2.80533
     0.07782   -3.25825
     0.06865   -3.28971
     0.06043   -3.31970
     0.05308   -3.35376
     0.04652   -3.39735
     0.04067   -3.45753
     0.03544   -3.54120
     0.03077   -3.64837
     0.02657   -3.77717
     0.02281   -3.91613
     0.01944   -4.04604
     0.01642   -4.15539
     0.01373   -4.23520
     0.01134   -4.27911
     0.00922   -4.28240
     0.00735   -4.24337
     0.00569   -4.17280
     0.00425   -4.09636
     0.00303   -4.01797
     0.00202   -3.91925
     0.00122   -3.78638
     0.00063   -3.60371
     0.00023   -3.35292
     0.00003   -3.00637
     0.00003   -2.53320
     0.00023   -1.98803
     0.00063   -1.45568
     0.00122   -0.96758
     0.00202   -0.53854
     0.00303   -0.17262
     0.00425    0.13025
     0.00569    0.37243
     0.00735    0.56478
     0.00922    0.71604
     0.01134    0.83091
     0.01373    0.91270
     0.01642    0.96627
     0.01944    0.99498
     0.02281    1.00319
     0.02657    0.99442
     0.03077    0.97227
     0.03544    0.93945
     0.04067    0.89864
     0.04652    0.85219
     0.05308    0.80199
     0.06043    0.74932
     0.06865    0.69622
     0.07782    0.64464
     0.08797    0.59496
     0.09913    0.54820
     0.11128    0.50557
     0.12436    0.46768
     0.13828    0.43379
     0.15291    0.40418
     0.16817    0.37896
     0.18395    0.35739
     0.20017    0.33890
     0.21675    0.32323
     0.23361    0.31000
     0.25069    0.29841
     0.26785    0.28736
     0.28494    0.28109
     0.30188    0.27474
     0.31872    0.25825
     0.33552    0.23558
     0.35239    0.21346
     0.36942    0.19830
     0.38668    0.18757
     0.40416    0.17849
     0.42173    0.16923
     0.43930    0.16036
     0.45686    0.15252
     0.47445    0.14594
     0.49211    0.14017
     0.50984    0.13473
     0.52759    0.12948
     0.54535    0.12454
     0.56312    0.12004
     0.58091    0.11594
     0.59872    0.11213
     0.61654    0.10849
     0.63437    0.10506
     0.65220    0.10193
     0.67003    0.09915
     0.68788    0.09668
     0.70573    0.09444
     0.72360    0.09240
     0.74146    0.09056
     0.75932    0.08895
     0.77718    0.08755
     0.79502    0.08641
     0.81285    0.08551
     0.83065    0.08493
     0.84841    0.08475
     0.86606    0.08505
     0.88357    0.08589
     0.90091    0.08727
     0.91805    0.08925
     0.93479    0.09196
     0.95072    0.09541
     0.96541    0.09951
     0.97870    0.10391
     0.99062    0.10883
     1.00000    0.11041
