#      x          Cp  
     1.00000    0.11843
     0.99062    0.10497
     0.97870    0.08680
     0.96541    0.06711
     0.95072    0.04598
     0.93479    0.02400
     0.91805    0.00191
     0.90091   -0.01971
     0.88357   -0.04070
     0.86606   -0.06106
     0.84841   -0.08079
     0.83065   -0.09989
     0.81285   -0.11842
     0.79502   -0.13650
     0.77718   -0.15424
     0.75932   -0.17170
     0.74146   -0.18896
     0.72360   -0.20609
     0.70573   -0.22313
     0.68788   -0.24018
     0.67003   -0.25724
     0.65220   -0.27425
     0.63437   -0.29118
     0.61654   -0.30813
     0.59872   -0.32528
     0.58091   -0.34281
     0.56312   -0.36058
     0.54535   -0.37849
     0.52759   -0.39649
     0.50984   -0.41485
     0.49211   -0.43395
     0.47445   -0.45372
     0.45686   -0.47346
     0.43930   -0.49228
     0.42173   -0.51044
     0.40416   -0.52929
     0.38668   -0.55097
     0.36942   -0.57272
     0.35239   -0.58912
     0.33552   -0.59193
     0.31872   -0.59081
     0.30188   -0.59946
     0.28494   -0.63712
     0.26785   -0.68294
     0.25069   -0.72151
     0.23361   -0.76419
     0.21675   -0.80848
     0.20017   -0.85680
     0.18395   -0.93042
     0.16817   -1.11920
     0.15291   -1.43911
     0.13828   -1.46811
     0.12436   -1.49619
     0.11128   -1.52760
     0.09913   -1.56663
     0.08797   -1.61700
     0.07782   -1.67990
     0.06865   -1.75411
     0.06043   -1.83600
     0.05308   -1.91797
     0.04652   -1.99561
     0.04067   -2.06513
     0.03544   -2.12254
     0.03077   -2.16707
     0.02657   -2.19967
     0.02281   -2.21527
     0.01944   -2.21133
     0.01642   -2.18828
     0.01373   -2.14283
     0.01134   -2.07231
     0.00922   -1.97432
     0.00735   -1.84807
     0.00569   -1.70163
     0.00425   -1.55222
     0.00303   -1.40243
     0.00202   -1.24268
     0.00122   -1.06782
     0.00063   -0.87319
     0.00023   -0.65573
     0.00003   -0.41048
     0.00003   -0.13501
     0.00023    0.14006
     0.00063    0.38216
     0.00122    0.58288
     0.00202    0.74013
     0.00303    0.85682
     0.00425    0.93606
     0.00569    0.98293
     0.00735    1.00212
     0.00922    0.99829
     0.01134    0.97531
     0.01373    0.93735
     0.01642    0.88740
     0.01944    0.82913
     0.02281    0.76482
     0.02657    0.69770
     0.03077    0.62969
     0.03544    0.56152
     0.04067    0.49499
     0.04652    0.43195
     0.05308    0.37253
     0.06043    0.31665
     0.06865    0.26608
     0.07782    0.22220
     0.08797    0.18362
     0.09913    0.15053
     0.11128    0.12360
     0.12436    0.10270
     0.13828    0.08604
     0.15291    0.07357
     0.16817    0.06512
     0.18395    0.05966
     0.20017    0.05645
     0.21675    0.05518
     0.23361    0.05543
     0.25069    0.05635
     0.26785    0.05684
     0.28494    0.06116
     0.30188    0.06396
     0.31872    0.05547
     0.33552    0.03975
     0.35239    0.02399
     0.36942    0.01535
     0.38668    0.01119
     0.40416    0.00865
     0.42173    0.00588
     0.43930    0.00354
     0.45686    0.00222
     0.47445    0.00207
     0.49211    0.00264
     0.50984    0.00347
     0.52759    0.00444
     0.54535    0.00568
     0.56312    0.00729
     0.58091    0.00924
     0.59872    0.01146
     0.61654    0.01386
     0.63437    0.01649
     0.65220    0.01945
     0.67003    0.02281
     0.68788    0.02653
     0.70573    0.03060
     0.72360    0.03502
     0.74146    0.03983
     0.75932    0.04507
     0.77718    0.05076
     0.79502    0.05693
     0.81285    0.06358
     0.83065    0.07064
     0.84841    0.07797
     0.86606    0.08529
     0.88357    0.09219
     0.90091    0.09830
     0.91805    0.10345
     0.93479    0.10783
     0.95072    0.11140
     0.96541    0.11407
     0.97870    0.11601
     0.99062    0.11740
     1.00000    0.11843
