#      x          Cp  
     1.00000    0.20578
     0.99062    0.18505
     0.97870    0.15932
     0.96541    0.13520
     0.95072    0.11216
     0.93479    0.08983
     0.91805    0.06695
     0.90091    0.04145
     0.88357    0.01108
     0.86606   -0.02460
     0.84841   -0.06149
     0.83065   -0.07800
     0.81285   -0.08300
     0.79502   -0.08826
     0.77718   -0.09376
     0.75932   -0.09952
     0.74146   -0.10555
     0.72360   -0.11189
     0.70573   -0.11854
     0.68788   -0.12549
     0.67003   -0.13274
     0.65220   -0.14024
     0.63437   -0.14795
     0.61654   -0.15583
     0.59872   -0.16388
     0.58091   -0.17210
     0.56312   -0.18042
     0.54535   -0.18876
     0.52759   -0.19710
     0.50984   -0.20544
     0.49211   -0.21387
     0.47445   -0.22228
     0.45686   -0.23033
     0.43930   -0.23765
     0.42173   -0.24430
     0.40416   -0.25073
     0.38668   -0.25749
     0.36942   -0.26316
     0.35239   -0.26559
     0.33552   -0.26389
     0.31872   -0.26502
     0.30188   -0.27345
     0.28494   -0.28936
     0.26785   -0.30819
     0.25069   -0.32734
     0.23361   -0.34859
     0.21675   -0.37148
     0.20017   -0.39554
     0.18395   -0.42047
     0.16817   -0.44603
     0.15291   -0.47164
     0.13828   -0.49628
     0.12436   -0.51954
     0.11128   -0.54117
     0.09913   -0.55866
     0.08797   -0.57108
     0.07782   -0.57826
     0.06865   -0.57962
     0.06043   -0.57183
     0.05308   -0.55531
     0.04652   -0.53159
     0.04067   -0.49890
     0.03544   -0.45526
     0.03077   -0.40179
     0.02657   -0.33992
     0.02281   -0.26695
     0.01944   -0.18297
     0.01642   -0.08992
     0.01373    0.01194
     0.01134    0.12159
     0.00922    0.23768
     0.00735    0.35851
     0.00569    0.47929
     0.00425    0.59318
     0.00303    0.69767
     0.00202    0.79187
     0.00122    0.87329
     0.00063    0.93844
     0.00023    0.98314
     0.00003    1.00269
     0.00003    0.99352
     0.00023    0.95660
     0.00063    0.89650
     0.00122    0.81803
     0.00202    0.72549
     0.00303    0.62193
     0.00425    0.50972
     0.00569    0.38912
     0.00735    0.26265
     0.00922    0.13761
     0.01134    0.01895
     0.01373   -0.09182
     0.01642   -0.19359
     0.01944   -0.28551
     0.02281   -0.36753
     0.02657   -0.43779
     0.03077   -0.49635
     0.03544   -0.54612
     0.04067   -0.58570
     0.04652   -0.61403
     0.05308   -0.63322
     0.06043   -0.64511
     0.06865   -0.64823
     0.07782   -0.64223
     0.08797   -0.63054
     0.09913   -0.61378
     0.11128   -0.59219
     0.12436   -0.56678
     0.13828   -0.54003
     0.15291   -0.51223
     0.16817   -0.48383
     0.18395   -0.45581
     0.20017   -0.42876
     0.21675   -0.40292
     0.23361   -0.37855
     0.25069   -0.35605
     0.26785   -0.33576
     0.28494   -0.31630
     0.30188   -0.29962
     0.31872   -0.28930
     0.33552   -0.28587
     0.35239   -0.28571
     0.36942   -0.28217
     0.38668   -0.27572
     0.40416   -0.26829
     0.42173   -0.26119
     0.43930   -0.25392
     0.45686   -0.24605
     0.47445   -0.23752
     0.49211   -0.22871
     0.50984   -0.21993
     0.52759   -0.21128
     0.54535   -0.20270
     0.56312   -0.19419
     0.58091   -0.18578
     0.59872   -0.17755
     0.61654   -0.16955
     0.63437   -0.16178
     0.65220   -0.15426
     0.67003   -0.14700
     0.68788   -0.14001
     0.70573   -0.13333
     0.72360   -0.12695
     0.74146   -0.12088
     0.75932   -0.11514
     0.77718   -0.10979
     0.79502   -0.10310
     0.81285   -0.07178
     0.83065   -0.03902
     0.84841   -0.01041
     0.86606    0.01280
     0.88357    0.03215
     0.90091    0.04975
     0.91805    0.06753
     0.93479    0.08680
     0.95072    0.10813
     0.96541    0.13152
     0.97870    0.15662
     0.99062    0.18376
     1.00000    0.20578
