#      x          Cp  
     1.00000    0.12581
     0.99062    0.11292
     0.97870    0.09557
     0.96541    0.07643
     0.95072    0.05558
     0.93479    0.03355
     0.91805    0.01111
     0.90091   -0.01110
     0.88357   -0.03286
     0.86606   -0.05413
     0.84841   -0.07487
     0.83065   -0.09504
     0.81285   -0.11468
     0.79502   -0.13389
     0.77718   -0.15278
     0.75932   -0.17140
     0.74146   -0.18981
     0.72360   -0.20810
     0.70573   -0.22631
     0.68788   -0.24453
     0.67003   -0.26276
     0.65220   -0.28097
     0.63437   -0.29912
     0.61654   -0.31731
     0.59872   -0.33574
     0.58091   -0.35455
     0.56312   -0.37364
     0.54535   -0.39290
     0.52759   -0.41233
     0.50984   -0.43215
     0.49211   -0.45276
     0.47445   -0.47409
     0.45686   -0.49547
     0.43930   -0.51605
     0.42173   -0.53609
     0.40416   -0.55691
     0.38668   -0.58059
     0.36942   -0.60445
     0.35239   -0.62318
     0.33552   -0.62876
     0.31872   -0.63062
     0.30188   -0.64235
     0.28494   -0.68323
     0.26785   -0.73330
     0.25069   -0.77739
     0.23361   -0.82695
     0.21675   -0.87926
     0.20017   -0.93207
     0.18395   -0.98684
     0.16817   -1.06191
     0.15291   -1.23815
     0.13828   -1.65683
     0.12436   -1.70856
     0.11128   -1.73729
     0.09913   -1.76877
     0.08797   -1.80751
     0.07782   -1.85800
     0.06865   -1.92306
     0.06043   -2.00101
     0.05308   -2.08883
     0.04652   -2.17937
     0.04067   -2.26551
     0.03544   -2.34119
     0.03077   -2.40425
     0.02657   -2.45515
     0.02281   -2.48874
     0.01944   -2.50215
     0.01642   -2.49551
     0.01373   -2.46512
     0.01134   -2.40784
     0.00922   -2.32088
     0.00735   -2.20321
     0.00569   -2.06339
     0.00425   -1.92005
     0.00303   -1.77591
     0.00202   -1.61991
     0.00122   -1.44559
     0.00063   -1.24679
     0.00023   -1.01851
     0.00003   -0.75285
     0.00003   -0.44398
     0.00023   -0.12656
     0.00063    0.15978
     0.00122    0.40319
     0.00202    0.60065
     0.00303    0.75330
     0.00425    0.86515
     0.00569    0.94002
     0.00735    0.98428
     0.00922    1.00227
     0.01134    0.99835
     0.01373    0.97626
     0.01642    0.93996
     0.01944    0.89232
     0.02281    0.83687
     0.02657    0.77609
     0.03077    0.71274
     0.03544    0.64763
     0.04067    0.58278
     0.04652    0.52010
     0.05308    0.45999
     0.06043    0.40261
     0.06865    0.34979
     0.07782    0.30297
     0.08797    0.26105
     0.09913    0.22438
     0.11128    0.19368
     0.12436    0.16897
     0.13828    0.14859
     0.15291    0.13253
     0.16817    0.12067
     0.18395    0.11200
     0.20017    0.10579
     0.21675    0.10175
     0.23361    0.09943
     0.25069    0.09798
     0.26785    0.09630
     0.28494    0.09870
     0.30188    0.09985
     0.31872    0.08976
     0.33552    0.07259
     0.35239    0.05551
     0.36942    0.04562
     0.38668    0.04024
     0.40416    0.03649
     0.42173    0.03253
     0.43930    0.02899
     0.45686    0.02648
     0.47445    0.02517
     0.49211    0.02458
     0.50984    0.02428
     0.52759    0.02412
     0.54535    0.02422
     0.56312    0.02471
     0.58091    0.02555
     0.59872    0.02665
     0.61654    0.02791
     0.63437    0.02941
     0.65220    0.03121
     0.67003    0.03340
     0.68788    0.03593
     0.70573    0.03877
     0.72360    0.04192
     0.74146    0.04541
     0.75932    0.04929
     0.77718    0.05359
     0.79502    0.05836
     0.81285    0.06365
     0.83065    0.06950
     0.84841    0.07594
     0.86606    0.08289
     0.88357    0.09015
     0.90091    0.09739
     0.91805    0.10420
     0.93479    0.11014
     0.95072    0.11495
     0.96541    0.11879
     0.97870    0.12185
     0.99062    0.12417
     1.00000    0.12581
