#      x          Cp  
     1.00000    0.12916
     0.99062    0.11685
     0.97870    0.10026
     0.96541    0.08173
     0.95072    0.06131
     0.93479    0.03947
     0.91805    0.01699
     0.90091   -0.00547
     0.88357   -0.02764
     0.86606   -0.04945
     0.84841   -0.07082
     0.83065   -0.09170
     0.81285   -0.11211
     0.79502   -0.13212
     0.77718   -0.15182
     0.75932   -0.17127
     0.74146   -0.19053
     0.72360   -0.20967
     0.70573   -0.22874
     0.68788   -0.24783
     0.67003   -0.26694
     0.65220   -0.28605
     0.63437   -0.30511
     0.61654   -0.32424
     0.59872   -0.34362
     0.58091   -0.36340
     0.56312   -0.38348
     0.54535   -0.40378
     0.52759   -0.42427
     0.50984   -0.44520
     0.49211   -0.46694
     0.47445   -0.48944
     0.45686   -0.51205
     0.43930   -0.53394
     0.42173   -0.55538
     0.40416   -0.57768
     0.38668   -0.60284
     0.36942   -0.62824
     0.35239   -0.64866
     0.33552   -0.65627
     0.31872   -0.66036
     0.30188   -0.67439
     0.28494   -0.71747
     0.26785   -0.77032
     0.25069   -0.81807
     0.23361   -0.87213
     0.21675   -0.93015
     0.20017   -0.99001
     0.18395   -1.05087
     0.16817   -1.11709
     0.15291   -1.21676
     0.13828   -1.45492
     0.12436   -1.88244
     0.11128   -1.91399
     0.09913   -1.94391
     0.08797   -1.97733
     0.07782   -2.01910
     0.06865   -2.07418
     0.06043   -2.14510
     0.05308   -2.22937
     0.04652   -2.32396
     0.04067   -2.42046
     0.03544   -2.50988
     0.03077   -2.58779
     0.02657   -2.65362
     0.02281   -2.70205
     0.01944   -2.72985
     0.01642   -2.73689
     0.01373   -2.71916
     0.01134   -2.67319
     0.00922   -2.59589
     0.00735   -2.48609
     0.00569   -2.35268
     0.00425   -2.21541
     0.00303   -2.07709
     0.00202   -1.92553
     0.00122   -1.75324
     0.00063   -1.55282
     0.00023   -1.31762
     0.00003   -1.03730
     0.00003   -0.70310
     0.00023   -0.35269
     0.00063   -0.03168
     0.00122    0.24576
     0.00202    0.47487
     0.00303    0.65669
     0.00425    0.79421
     0.00569    0.89188
     0.00735    0.95592
     0.00922    0.99174
     0.01134    1.00320
     0.01373    0.99450
     0.01642    0.96914
     0.01944    0.93102
     0.02281    0.88276
     0.02657    0.82800
     0.03077    0.76879
     0.03544    0.70685
     0.04067    0.64394
     0.04652    0.58218
     0.05308    0.52214
     0.06043    0.46417
     0.06865    0.41012
     0.07782    0.36151
     0.08797    0.31747
     0.09913    0.27842
     0.11128    0.24519
     0.12436    0.21784
     0.13828    0.19486
     0.15291    0.17628
     0.16817    0.16200
     0.18395    0.15105
     0.20017    0.14269
     0.21675    0.13664
     0.23361    0.13246
     0.25069    0.12930
     0.26785    0.12604
     0.28494    0.12702
     0.30188    0.12695
     0.31872    0.11573
     0.33552    0.09755
     0.35239    0.07957
     0.36942    0.06877
     0.38668    0.06250
     0.40416    0.05788
     0.42173    0.05306
     0.43930    0.04865
     0.45686    0.04527
     0.47445    0.04311
     0.49211    0.04169
     0.50984    0.04055
     0.52759    0.03956
     0.54535    0.03885
     0.56312    0.03853
     0.58091    0.03856
     0.59872    0.03886
     0.61654    0.03932
     0.63437    0.04000
     0.65220    0.04099
     0.67003    0.04235
     0.68788    0.04404
     0.70573    0.04603
     0.72360    0.04830
     0.74146    0.05088
     0.75932    0.05381
     0.77718    0.05712
     0.79502    0.06087
     0.81285    0.06510
     0.83065    0.06989
     0.84841    0.07531
     0.86606    0.08138
     0.88357    0.08804
     0.90091    0.09512
     0.91805    0.10235
     0.93479    0.10929
     0.95072    0.11536
     0.96541    0.12022
     0.97870    0.12397
     0.99062    0.12699
     1.00000    0.12916
