#      x          Cp  
     1.00000    0.12704
     0.99062    0.11227
     0.97870    0.09219
     0.96541    0.07161
     0.95072    0.05061
     0.93479    0.02978
     0.91805    0.00969
     0.90091   -0.00930
     0.88357   -0.02726
     0.86606   -0.04431
     0.84841   -0.06051
     0.83065   -0.07591
     0.81285   -0.09065
     0.79502   -0.10488
     0.77718   -0.11874
     0.75932   -0.13227
     0.74146   -0.14556
     0.72360   -0.15865
     0.70573   -0.17160
     0.68788   -0.18449
     0.67003   -0.19730
     0.65220   -0.20996
     0.63437   -0.22239
     0.61654   -0.23469
     0.59872   -0.24706
     0.58091   -0.25965
     0.56312   -0.27230
     0.54535   -0.28482
     0.52759   -0.29715
     0.50984   -0.30951
     0.49211   -0.32230
     0.47445   -0.33538
     0.45686   -0.34789
     0.43930   -0.35873
     0.42173   -0.36804
     0.40416   -0.37703
     0.38668   -0.38769
     0.36942   -0.39612
     0.35239   -0.39666
     0.33552   -0.38393
     0.31872   -0.37633
     0.30188   -0.40980
     0.28494   -0.52289
     0.26785   -0.62346
     0.25069   -0.64231
     0.23361   -0.66134
     0.21675   -0.68188
     0.20017   -0.70530
     0.18395   -0.73291
     0.16817   -0.76563
     0.15291   -0.80383
     0.13828   -0.84788
     0.12436   -0.89673
     0.11128   -0.94864
     0.09913   -1.00064
     0.08797   -1.05048
     0.07782   -1.09698
     0.06865   -1.13908
     0.06043   -1.17305
     0.05308   -1.19844
     0.04652   -1.21640
     0.04067   -1.22468
     0.03544   -1.22047
     0.03077   -1.20426
     0.02657   -1.17735
     0.02281   -1.13554
     0.01944   -1.07766
     0.01642   -1.00503
     0.01373   -0.91626
     0.01134   -0.81066
     0.00922   -0.68777
     0.00735   -0.54789
     0.00569   -0.39722
     0.00425   -0.24714
     0.00303   -0.09998
     0.00202    0.04799
     0.00122    0.19719
     0.00063    0.34716
     0.00023    0.49550
     0.00003    0.63849
     0.00003    0.77077
     0.00023    0.87738
     0.00063    0.95102
     0.00122    0.99169
     0.00202    1.00313
     0.00303    0.98894
     0.00425    0.95322
     0.00569    0.89913
     0.00735    0.83021
     0.00922    0.75071
     0.01134    0.66503
     0.01373    0.57594
     0.01642    0.48606
     0.01944    0.39750
     0.02281    0.31182
     0.02657    0.23136
     0.03077    0.15722
     0.03544    0.08822
     0.04067    0.02593
     0.04652   -0.02816
     0.05308   -0.07511
     0.06043   -0.11597
     0.06865   -0.14907
     0.07782   -0.17351
     0.08797   -0.19181
     0.09913   -0.20423
     0.11128   -0.21054
     0.12436   -0.21130
     0.13828   -0.20882
     0.15291   -0.20326
     0.16817   -0.19491
     0.18395   -0.18486
     0.20017   -0.17383
     0.21675   -0.16207
     0.23361   -0.14997
     0.25069   -0.13829
     0.26785   -0.12792
     0.28494   -0.11537
     0.30188   -0.10539
     0.31872   -0.10614
     0.33552   -0.11461
     0.35239   -0.12408
     0.36942   -0.12715
     0.38668   -0.12605
     0.40416   -0.12352
     0.42173   -0.12126
     0.43930   -0.11862
     0.45686   -0.11506
     0.47445   -0.11045
     0.49211   -0.10525
     0.50984   -0.09983
     0.52759   -0.09432
     0.54535   -0.08858
     0.56312   -0.08255
     0.58091   -0.07623
     0.59872   -0.06969
     0.61654   -0.06297
     0.63437   -0.05604
     0.65220   -0.04885
     0.67003   -0.04138
     0.68788   -0.03370
     0.70573   -0.02592
     0.72360   -0.01816
     0.74146   -0.01058
     0.75932   -0.00334
     0.77718    0.00335
     0.79502    0.00940
     0.81285    0.01482
     0.83065    0.01974
     0.84841    0.02403
     0.86606    0.02766
     0.88357    0.03066
     0.90091    0.03312
     0.91805    0.03514
     0.93479    0.03679
     0.95072    0.03814
     0.96541    0.03929
     0.97870    0.04033
     0.99062    0.08879
     1.00000    0.12704
