#      x          Cp  
     1.00000    0.15901
     0.99062    0.14206
     0.97870    0.11998
     0.96541    0.09767
     0.95072    0.07515
     0.93479    0.05313
     0.91805    0.03222
     0.90091    0.01269
     0.88357   -0.00556
     0.86606   -0.02271
     0.84841   -0.03886
     0.83065   -0.05409
     0.81285   -0.06855
     0.79502   -0.08242
     0.77718   -0.09585
     0.75932   -0.10890
     0.74146   -0.12163
     0.72360   -0.13413
     0.70573   -0.14642
     0.68788   -0.15861
     0.67003   -0.17067
     0.65220   -0.18251
     0.63437   -0.19406
     0.61654   -0.20543
     0.59872   -0.21678
     0.58091   -0.22828
     0.56312   -0.23974
     0.54535   -0.25097
     0.52759   -0.26187
     0.50984   -0.27265
     0.49211   -0.28367
     0.47445   -0.29478
     0.45686   -0.30516
     0.43930   -0.31289
     0.42173   -0.31887
     0.40416   -0.32440
     0.38668   -0.33094
     0.36942   -0.33760
     0.35239   -0.35209
     0.33552   -0.39848
     0.31872   -0.46239
     0.30188   -0.47829
     0.28494   -0.49424
     0.26785   -0.51111
     0.25069   -0.52980
     0.23361   -0.55076
     0.21675   -0.57474
     0.20017   -0.60219
     0.18395   -0.63368
     0.16817   -0.66958
     0.15291   -0.70946
     0.13828   -0.75213
     0.12436   -0.79637
     0.11128   -0.84124
     0.09913   -0.88427
     0.08797   -0.92396
     0.07782   -0.95962
     0.06865   -0.99041
     0.06043   -1.01264
     0.05308   -1.02614
     0.04652   -1.03218
     0.04067   -1.02860
     0.03544   -1.01275
     0.03077   -0.98531
     0.02657   -0.94762
     0.02281   -0.89580
     0.01944   -0.82902
     0.01642   -0.74879
     0.01373   -0.65412
     0.01134   -0.54482
     0.00922   -0.42091
     0.00735   -0.28299
     0.00569   -0.13687
     0.00425    0.00739
     0.00303    0.14743
     0.00202    0.28572
     0.00122    0.42171
     0.00063    0.55418
     0.00023    0.67947
     0.00003    0.79384
     0.00003    0.89008
     0.00023    0.95874
     0.00063    0.99525
     0.00122    1.00242
     0.00202    0.98374
     0.00303    0.94340
     0.00425    0.88466
     0.00569    0.81078
     0.00735    0.72433
     0.00922    0.63063
     0.01134    0.53377
     0.01373    0.43644
     0.01642    0.34084
     0.01944    0.24883
     0.02281    0.16160
     0.02657    0.08138
     0.03077    0.00900
     0.03544   -0.05718
     0.04067   -0.11563
     0.04652   -0.16496
     0.05308   -0.20650
     0.06043   -0.24153
     0.06865   -0.26843
     0.07782   -0.28639
     0.08797   -0.29821
     0.09913   -0.30424
     0.11128   -0.30436
     0.12436   -0.29923
     0.13828   -0.29125
     0.15291   -0.28061
     0.16817   -0.26762
     0.18395   -0.25335
     0.20017   -0.23851
     0.21675   -0.22332
     0.23361   -0.20817
     0.25069   -0.19376
     0.26785   -0.18089
     0.28494   -0.16641
     0.30188   -0.15471
     0.31872   -0.15332
     0.33552   -0.15975
     0.35239   -0.16757
     0.36942   -0.16933
     0.38668   -0.16706
     0.40416   -0.16342
     0.42173   -0.16009
     0.43930   -0.15642
     0.45686   -0.15188
     0.47445   -0.14636
     0.49211   -0.14029
     0.50984   -0.13406
     0.52759   -0.12777
     0.54535   -0.12132
     0.56312   -0.11463
     0.58091   -0.10772
     0.59872   -0.10065
     0.61654   -0.09349
     0.63437   -0.08620
     0.65220   -0.07874
     0.67003   -0.07113
     0.68788   -0.06343
     0.70573   -0.05575
     0.72360   -0.04819
     0.74146   -0.04085
     0.75932   -0.03388
     0.77718   -0.02739
     0.79502   -0.02143
     0.81285   -0.01600
     0.83065   -0.01099
     0.84841   -0.00646
     0.86606   -0.00248
     0.88357    0.00100
     0.90091    0.00403
     0.91805    0.00670
     0.93479    0.00907
     0.95072    0.01122
     0.96541    0.02156
     0.97870    0.07647
     0.99062    0.12379
     1.00000    0.15901
