#      x          Cp  
     1.00000    0.18699
     0.99062    0.16680
     0.97870    0.14138
     0.96541    0.11647
     0.95072    0.09214
     0.93479    0.06897
     0.91805    0.04744
     0.90091    0.02774
     0.88357    0.00962
     0.86606   -0.00717
     0.84841   -0.02278
     0.83065   -0.03732
     0.81285   -0.05098
     0.79502   -0.06395
     0.77718   -0.07638
     0.75932   -0.08833
     0.74146   -0.09986
     0.72360   -0.11104
     0.70573   -0.12189
     0.68788   -0.13250
     0.67003   -0.14286
     0.65220   -0.15290
     0.63437   -0.16267
     0.61654   -0.17260
     0.59872   -0.18343
     0.58091   -0.19518
     0.56312   -0.20891
     0.54535   -0.22601
     0.52759   -0.24718
     0.50984   -0.27031
     0.49211   -0.29089
     0.47445   -0.30102
     0.45686   -0.30704
     0.43930   -0.31385
     0.42173   -0.32114
     0.40416   -0.32910
     0.38668   -0.33794
     0.36942   -0.34694
     0.35239   -0.35568
     0.33552   -0.36550
     0.31872   -0.37898
     0.30188   -0.39481
     0.28494   -0.41189
     0.26785   -0.43076
     0.25069   -0.45183
     0.23361   -0.47538
     0.21675   -0.50176
     0.20017   -0.53114
     0.18395   -0.56343
     0.16817   -0.59834
     0.15291   -0.63519
     0.13828   -0.67294
     0.12436   -0.71087
     0.11128   -0.74850
     0.09913   -0.78340
     0.08797   -0.81432
     0.07782   -0.84079
     0.06865   -0.86205
     0.06043   -0.87448
     0.05308   -0.87811
     0.04652   -0.87429
     0.04067   -0.86096
     0.03544   -0.83566
     0.03077   -0.79921
     0.02657   -0.75298
     0.02281   -0.69342
     0.01944   -0.61998
     0.01642   -0.53432
     0.01373   -0.43584
     0.01134   -0.32473
     0.00922   -0.20143
     0.00735   -0.06687
     0.00569    0.07350
     0.00425    0.21068
     0.00303    0.34231
     0.00202    0.46973
     0.00122    0.59181
     0.00063    0.70619
     0.00023    0.80951
     0.00003    0.89638
     0.00003    0.96113
     0.00023    0.99637
     0.00063    1.00190
     0.00122    0.98088
     0.00202    0.93764
     0.00303    0.87567
     0.00425    0.79872
     0.00569    0.70856
     0.00735    0.60831
     0.00922    0.50329
     0.01134    0.39808
     0.01373    0.29491
     0.01642    0.19572
     0.01944    0.10208
     0.02281    0.01485
     0.02657   -0.06384
     0.03077   -0.13343
     0.03544   -0.19594
     0.04067   -0.24990
     0.04652   -0.29399
     0.05308   -0.32979
     0.06043   -0.35878
     0.06865   -0.37935
     0.07782   -0.39083
     0.08797   -0.39623
     0.09913   -0.39599
     0.11128   -0.39008
     0.12436   -0.37928
     0.13828   -0.36602
     0.15291   -0.35052
     0.16817   -0.33311
     0.18395   -0.31486
     0.20017   -0.29644
     0.21675   -0.27806
     0.23361   -0.26008
     0.25069   -0.24315
     0.26785   -0.22798
     0.28494   -0.21179
     0.30188   -0.19853
     0.31872   -0.19493
     0.33552   -0.19912
     0.35239   -0.20513
     0.36942   -0.20556
     0.38668   -0.20214
     0.40416   -0.19744
     0.42173   -0.19306
     0.43930   -0.18839
     0.45686   -0.18289
     0.47445   -0.17649
     0.49211   -0.16959
     0.50984   -0.16258
     0.52759   -0.15555
     0.54535   -0.14841
     0.56312   -0.14110
     0.58091   -0.13364
     0.59872   -0.12610
     0.61654   -0.11854
     0.63437   -0.11094
     0.65220   -0.10328
     0.67003   -0.09559
     0.68788   -0.08793
     0.70573   -0.08041
     0.72360   -0.07309
     0.74146   -0.06606
     0.75932   -0.05939
     0.77718   -0.05315
     0.79502   -0.04734
     0.81285   -0.04194
     0.83065   -0.03691
     0.84841   -0.03221
     0.86606   -0.02789
     0.88357   -0.02392
     0.90091   -0.02025
     0.91805   -0.01678
     0.93479   -0.01341
     0.95072    0.03537
     0.96541    0.08877
     0.97870    0.13021
     0.99062    0.16334
     1.00000    0.18699
