#      x          Cp  
     1.00000    0.12838
     0.99062    0.11584
     0.97870    0.09895
     0.96541    0.08017
     0.95072    0.05955
     0.93479    0.03759
     0.91805    0.01508
     0.90091   -0.00735
     0.88357   -0.02942
     0.86606   -0.05108
     0.84841   -0.07226
     0.83065   -0.09292
     0.81285   -0.11309
     0.79502   -0.13285
     0.77718   -0.15228
     0.75932   -0.17146
     0.74146   -0.19044
     0.72360   -0.20930
     0.70573   -0.22809
     0.68788   -0.24688
     0.67003   -0.26570
     0.65220   -0.28451
     0.63437   -0.30326
     0.61654   -0.32208
     0.59872   -0.34113
     0.58091   -0.36058
     0.56312   -0.38034
     0.54535   -0.40028
     0.52759   -0.42041
     0.50984   -0.44096
     0.49211   -0.46232
     0.47445   -0.48442
     0.45686   -0.50661
     0.43930   -0.52805
     0.42173   -0.54901
     0.40416   -0.57079
     0.38668   -0.59544
     0.36942   -0.62028
     0.35239   -0.64010
     0.33552   -0.64703
     0.31872   -0.65041
     0.30188   -0.66371
     0.28494   -0.70597
     0.26785   -0.75777
     0.25069   -0.80422
     0.23361   -0.85666
     0.21675   -0.91265
     0.20017   -0.97015
     0.18395   -1.02947
     0.16817   -1.10042
     0.15291   -1.22915
     0.13828   -1.54487
     0.12436   -1.82510
     0.11128   -1.85490
     0.09913   -1.88462
     0.08797   -1.91904
     0.07782   -1.96295
     0.06865   -2.02098
     0.06043   -2.09419
     0.05308   -2.18009
     0.04652   -2.27411
     0.04067   -2.36772
     0.03544   -2.45286
     0.03077   -2.52597
     0.02657   -2.58690
     0.02281   -2.63041
     0.01944   -2.65342
     0.01642   -2.65589
     0.01373   -2.63391
     0.01134   -2.58413
     0.00922   -2.50355
     0.00735   -2.39106
     0.00569   -2.25543
     0.00425   -2.11604
     0.00303   -1.97568
     0.00202   -1.82252
     0.00122   -1.64943
     0.00063   -1.44941
     0.00023   -1.21639
     0.00003   -0.94086
     0.00003   -0.61505
     0.00023   -0.27563
     0.00063    0.03380
     0.00122    0.29981
     0.00202    0.51839
     0.00303    0.69029
     0.00425    0.81936
     0.00569    0.90923
     0.00735    0.96678
     0.00922    0.99646
     0.01134    1.00279
     0.01373    0.98952
     0.01642    0.96057
     0.01944    0.91907
     0.02281    0.86849
     0.02657    0.81153
     0.03077    0.75097
     0.03544    0.68786
     0.04067    0.62427
     0.04652    0.56213
     0.05308    0.50202
     0.06043    0.44420
     0.06865    0.39051
     0.07782    0.34245
     0.08797    0.29907
     0.09913    0.26078
     0.11128    0.22835
     0.12436    0.20186
     0.13828    0.17971
     0.15291    0.16195
     0.16817    0.14846
     0.18395    0.13824
     0.20017    0.13059
     0.21675    0.12519
     0.23361    0.12162
     0.25069    0.11902
     0.26785    0.11628
     0.28494    0.11773
     0.30188    0.11805
     0.31872    0.10720
     0.33552    0.08935
     0.35239    0.07166
     0.36942    0.06116
     0.38668    0.05518
     0.40416    0.05085
     0.42173    0.04631
     0.43930    0.04219
     0.45686    0.03910
     0.47445    0.03721
     0.49211    0.03606
     0.50984    0.03520
     0.52759    0.03449
     0.54535    0.03405
     0.56312    0.03399
     0.58091    0.03429
     0.59872    0.03485
     0.61654    0.03557
     0.63437    0.03652
     0.65220    0.03778
     0.67003    0.03941
     0.68788    0.04137
     0.70573    0.04364
     0.72360    0.04620
     0.74146    0.04908
     0.75932    0.05231
     0.77718    0.05595
     0.79502    0.06004
     0.81285    0.06461
     0.83065    0.06976
     0.84841    0.07553
     0.86606    0.08192
     0.88357    0.08884
     0.90091    0.09605
     0.91805    0.10324
     0.93479    0.10993
     0.95072    0.11560
     0.96541    0.12005
     0.97870    0.12355
     0.99062    0.12638
     1.00000    0.12838
