#      x          Cp  
     1.00000    0.14729
     0.99062    0.13119
     0.97870    0.10992
     0.96541    0.08832
     0.95072    0.06640
     0.93479    0.04486
     0.91805    0.02428
     0.90091    0.00497
     0.88357   -0.01316
     0.86606   -0.03025
     0.84841   -0.04640
     0.83065   -0.06169
     0.81285   -0.07624
     0.79502   -0.09023
     0.77718   -0.10380
     0.75932   -0.11702
     0.74146   -0.12994
     0.72360   -0.14264
     0.70573   -0.15516
     0.68788   -0.16760
     0.67003   -0.17992
     0.65220   -0.19205
     0.63437   -0.20391
     0.61654   -0.21561
     0.59872   -0.22733
     0.58091   -0.23922
     0.56312   -0.25112
     0.54535   -0.26282
     0.52759   -0.27425
     0.50984   -0.28562
     0.49211   -0.29730
     0.47445   -0.30912
     0.45686   -0.32019
     0.43930   -0.32938
     0.42173   -0.33677
     0.40416   -0.34283
     0.38668   -0.34992
     0.36942   -0.35470
     0.35239   -0.35337
     0.33552   -0.35508
     0.31872   -0.40905
     0.30188   -0.51322
     0.28494   -0.52990
     0.26785   -0.54682
     0.25069   -0.56499
     0.23361   -0.58496
     0.21675   -0.60769
     0.20017   -0.63406
     0.18395   -0.66450
     0.16817   -0.69966
     0.15291   -0.73963
     0.13828   -0.78344
     0.12436   -0.82967
     0.11128   -0.87711
     0.09913   -0.92320
     0.08797   -0.96625
     0.07782   -1.00547
     0.06865   -1.03996
     0.06043   -1.06602
     0.05308   -1.08340
     0.04652   -1.09332
     0.04067   -1.09359
     0.03544   -1.08151
     0.03077   -1.05769
     0.02657   -1.02346
     0.02281   -0.97483
     0.01944   -0.91085
     0.01642   -0.83298
     0.01373   -0.74009
     0.01134   -0.63183
     0.00922   -0.50804
     0.00735   -0.36925
     0.00569   -0.22136
     0.00425   -0.07490
     0.00303    0.06781
     0.00202    0.20963
     0.00122    0.35039
     0.00063    0.48893
     0.00023    0.62236
     0.00003    0.74629
     0.00003    0.85483
     0.00023    0.93589
     0.00063    0.98479
     0.00122    1.00291
     0.00202    0.99413
     0.00303    0.96210
     0.00425    0.91106
     0.00569    0.84336
     0.00735    0.76281
     0.00922    0.67354
     0.01134    0.58030
     0.01373    0.48552
     0.01642    0.39165
     0.01944    0.30062
     0.02281    0.21374
     0.02657    0.13328
     0.03077    0.06016
     0.03544   -0.00711
     0.04067   -0.06698
     0.04652   -0.11802
     0.05308   -0.16148
     0.06043   -0.19857
     0.06865   -0.22764
     0.07782   -0.24785
     0.08797   -0.26192
     0.09913   -0.27016
     0.11128   -0.27241
     0.12436   -0.26930
     0.13828   -0.26321
     0.15291   -0.25431
     0.16817   -0.24290
     0.18395   -0.23007
     0.20017   -0.21652
     0.21675   -0.20249
     0.23361   -0.18837
     0.25069   -0.17488
     0.26785   -0.16285
     0.28494   -0.14901
     0.30188   -0.13789
     0.31872   -0.13724
     0.33552   -0.14438
     0.35239   -0.15277
     0.36942   -0.15498
     0.38668   -0.15310
     0.40416   -0.14983
     0.42173   -0.14686
     0.43930   -0.14353
     0.45686   -0.13931
     0.47445   -0.13409
     0.49211   -0.12831
     0.50984   -0.12234
     0.52759   -0.11630
     0.54535   -0.11008
     0.56312   -0.10359
     0.58091   -0.09686
     0.59872   -0.08995
     0.61654   -0.08292
     0.63437   -0.07573
     0.65220   -0.06833
     0.67003   -0.06074
     0.68788   -0.05303
     0.70573   -0.04530
     0.72360   -0.03766
     0.74146   -0.03024
     0.75932   -0.02319
     0.77718   -0.01665
     0.79502   -0.01069
     0.81285   -0.00528
     0.83065   -0.00032
     0.84841    0.00409
     0.86606    0.00792
     0.88357    0.01120
     0.90091    0.01399
     0.91805    0.01639
     0.93479    0.01847
     0.95072    0.02030
     0.96541    0.02197
     0.97870    0.06495
     0.99062    0.11236
     1.00000    0.14729
