#      x          Cp  
     1.00000    0.12267
     0.99062    0.10944
     0.97870    0.09161
     0.96541    0.07211
     0.95072    0.05104
     0.93479    0.02895
     0.91805    0.00661
     0.90091   -0.01537
     0.88357   -0.03680
     0.86606   -0.05765
     0.84841   -0.07792
     0.83065   -0.09757
     0.81285   -0.11668
     0.79502   -0.13534
     0.77718   -0.15366
     0.75932   -0.17171
     0.74146   -0.18955
     0.72360   -0.20726
     0.70573   -0.22489
     0.68788   -0.24252
     0.67003   -0.26017
     0.65220   -0.27778
     0.63437   -0.29530
     0.61654   -0.31288
     0.59872   -0.33066
     0.58091   -0.34882
     0.56312   -0.36725
     0.54535   -0.38583
     0.52759   -0.40454
     0.50984   -0.42362
     0.49211   -0.44346
     0.47445   -0.46400
     0.45686   -0.48455
     0.43930   -0.50423
     0.42173   -0.52331
     0.40416   -0.54312
     0.38668   -0.56577
     0.36942   -0.58854
     0.35239   -0.60606
     0.33552   -0.61024
     0.31872   -0.61063
     0.30188   -0.62086
     0.28494   -0.66006
     0.26785   -0.70789
     0.25069   -0.74917
     0.23361   -0.79522
     0.21675   -0.84337
     0.20017   -0.89325
     0.18395   -0.95530
     0.16817   -1.07813
     0.15291   -1.38316
     0.13828   -1.57230
     0.12436   -1.60058
     0.11128   -1.62952
     0.09913   -1.66365
     0.08797   -1.70730
     0.07782   -1.76407
     0.06865   -1.83391
     0.06043   -1.91513
     0.05308   -2.00150
     0.04652   -2.08643
     0.04067   -2.16459
     0.03544   -2.23119
     0.03077   -2.28494
     0.02657   -2.32658
     0.02281   -2.35105
     0.01944   -2.35565
     0.01642   -2.34065
     0.01373   -2.30256
     0.01134   -2.23848
     0.00922   -2.14582
     0.00735   -2.02364
     0.00569   -1.88029
     0.00425   -1.73367
     0.00303   -1.58644
     0.00202   -1.42829
     0.00122   -1.25341
     0.00063   -1.05641
     0.00023   -0.83329
     0.00003   -0.57765
     0.00003   -0.28543
     0.00023    0.01075
     0.00063    0.27478
     0.00122    0.49674
     0.00202    0.67375
     0.00303    0.80840
     0.00425    0.90356
     0.00569    0.96443
     0.00735    0.99586
     0.00922    1.00283
     0.01134    0.98920
     0.01373    0.95907
     0.01642    0.91570
     0.01944    0.86267
     0.02281    0.80255
     0.02657    0.73851
     0.03077    0.67265
     0.03544    0.60589
     0.04067    0.54007
     0.04652    0.47710
     0.05308    0.41722
     0.06043    0.36049
     0.06865    0.30870
     0.07782    0.26326
     0.08797    0.22293
     0.09913    0.18798
     0.11128    0.15911
     0.12436    0.13625
     0.13828    0.11768
     0.15291    0.10337
     0.16817    0.09318
     0.18395    0.08609
     0.20017    0.08135
     0.21675    0.07867
     0.23361    0.07762
     0.25069    0.07734
     0.26785    0.07673
     0.28494    0.08008
     0.30188    0.08204
     0.31872    0.07274
     0.33552    0.05627
     0.35239    0.03984
     0.36942    0.03056
     0.38668    0.02579
     0.40416    0.02263
     0.42173    0.01926
     0.43930    0.01632
     0.45686    0.01439
     0.47445    0.01365
     0.49211    0.01364
     0.50984    0.01390
     0.52759    0.01430
     0.54535    0.01496
     0.56312    0.01600
     0.58091    0.01739
     0.59872    0.01904
     0.61654    0.02086
     0.63437    0.02291
     0.65220    0.02529
     0.67003    0.02804
     0.68788    0.03116
     0.70573    0.03460
     0.72360    0.03837
     0.74146    0.04251
     0.75932    0.04705
     0.77718    0.05204
     0.79502    0.05751
     0.81285    0.06350
     0.83065    0.07001
     0.84841    0.07700
     0.86606    0.08430
     0.88357    0.09159
     0.90091    0.09845
     0.91805    0.10451
     0.93479    0.10956
     0.95072    0.11373
     0.96541    0.11705
     0.97870    0.11953
     0.99062    0.12136
     1.00000    0.12267
