#      x          Cp  
     1.00000    0.13058
     0.99062    0.11895
     0.97870    0.10325
     0.96541    0.08551
     0.95072    0.06572
     0.93479    0.04433
     0.91805    0.02206
     0.90091   -0.00042
     0.88357   -0.02279
     0.86606   -0.04495
     0.84841   -0.06681
     0.83065   -0.08828
     0.81285   -0.10935
     0.79502   -0.13007
     0.77718   -0.15053
     0.75932   -0.17076
     0.74146   -0.19082
     0.72360   -0.21079
     0.70573   -0.23070
     0.68788   -0.25064
     0.67003   -0.27061
     0.65220   -0.29060
     0.63437   -0.31056
     0.61654   -0.33062
     0.59872   -0.35095
     0.58091   -0.37169
     0.56312   -0.39276
     0.54535   -0.41407
     0.52759   -0.43563
     0.50984   -0.45765
     0.49211   -0.48052
     0.47445   -0.50418
     0.45686   -0.52801
     0.43930   -0.55120
     0.42173   -0.57404
     0.40416   -0.59778
     0.38668   -0.62439
     0.36942   -0.65128
     0.35239   -0.67335
     0.33552   -0.68302
     0.31872   -0.68937
     0.30188   -0.70568
     0.28494   -0.75072
     0.26785   -0.80601
     0.25069   -0.85703
     0.23361   -0.91494
     0.21675   -0.97770
     0.20017   -1.04350
     0.18395   -1.11140
     0.16817   -1.18237
     0.15291   -1.26651
     0.13828   -1.41559
     0.12436   -1.76903
     0.11128   -2.10424
     0.09913   -2.13512
     0.08797   -2.16538
     0.07782   -2.20011
     0.06865   -2.24459
     0.06043   -2.30421
     0.05308   -2.38071
     0.04652   -2.47167
     0.04067   -2.57351
     0.03544   -2.67528
     0.03077   -2.76855
     0.02657   -2.85050
     0.02281   -2.91519
     0.01944   -2.95883
     0.01642   -2.98094
     0.01373   -2.97725
     0.01134   -2.94394
     0.00922   -2.87766
     0.00735   -2.77711
     0.00569   -2.65155
     0.00425   -2.52177
     0.00303   -2.39076
     0.00202   -2.24516
     0.00122   -2.07643
     0.00063   -1.87586
     0.00023   -1.63504
     0.00003   -1.34099
     0.00003   -0.98172
     0.00023   -0.59792
     0.00063   -0.24143
     0.00122    0.07095
     0.00202    0.33286
     0.00303    0.54482
     0.00425    0.70910
     0.00569    0.83045
     0.00735    0.91513
     0.00922    0.96958
     0.01134    0.99726
     0.01373    1.00267
     0.01642    0.98940
     0.01944    0.96127
     0.02281    0.92129
     0.02657    0.87301
     0.03077    0.81880
     0.03544    0.76059
     0.04067    0.70024
     0.04652    0.63994
     0.05308    0.58048
     0.06043    0.52240
     0.06865    0.46755
     0.07782    0.41754
     0.08797    0.37171
     0.09913    0.33060
     0.11128    0.29509
     0.12436    0.26535
     0.13828    0.23998
     0.15291    0.21905
     0.16817    0.20250
     0.18395    0.18938
     0.20017    0.17898
     0.21675    0.17101
     0.23361    0.16505
     0.25069    0.16024
     0.26785    0.15546
     0.28494    0.15507
     0.30188    0.15381
     0.31872    0.14153
     0.33552    0.12242
     0.35239    0.10358
     0.36942    0.09193
     0.38668    0.08480
     0.40416    0.07933
     0.42173    0.07367
     0.43930    0.06842
     0.45686    0.06420
     0.47445    0.06121
     0.49211    0.05897
     0.50984    0.05703
     0.52759    0.05524
     0.54535    0.05374
     0.56312    0.05263
     0.58091    0.05189
     0.59872    0.05142
     0.61654    0.05110
     0.63437    0.05101
     0.65220    0.05121
     0.67003    0.05179
     0.68788    0.05269
     0.70573    0.05386
     0.72360    0.05530
     0.74146    0.05703
     0.75932    0.05907
     0.77718    0.06146
     0.79502    0.06424
     0.81285    0.06746
     0.83065    0.07120
     0.84841    0.07556
     0.86606    0.08060
     0.88357    0.08632
     0.90091    0.09267
     0.91805    0.09954
     0.93479    0.10665
     0.95072    0.11348
     0.96541    0.11945
     0.97870    0.12425
     0.99062    0.12799
     1.00000    0.13058
