#      x          Cp  
     1.00000    0.12444
     0.99062    0.11136
     0.97870    0.09374
     0.96541    0.07438
     0.95072    0.05338
     0.93479    0.03128
     0.91805    0.00885
     0.90091   -0.01328
     0.88357   -0.03491
     0.86606   -0.05599
     0.84841   -0.07651
     0.83065   -0.09644
     0.81285   -0.11583
     0.79502   -0.13477
     0.77718   -0.15338
     0.75932   -0.17172
     0.74146   -0.18986
     0.72360   -0.20786
     0.70573   -0.22578
     0.68788   -0.24372
     0.67003   -0.26166
     0.65220   -0.27957
     0.63437   -0.29741
     0.61654   -0.31530
     0.59872   -0.33340
     0.58091   -0.35189
     0.56312   -0.37066
     0.54535   -0.38958
     0.52759   -0.40865
     0.50984   -0.42810
     0.49211   -0.44833
     0.47445   -0.46927
     0.45686   -0.49024
     0.43930   -0.51037
     0.42173   -0.52993
     0.40416   -0.55025
     0.38668   -0.57343
     0.36942   -0.59674
     0.35239   -0.61487
     0.33552   -0.61975
     0.31872   -0.62089
     0.30188   -0.63190
     0.28494   -0.67198
     0.26785   -0.72098
     0.25069   -0.76374
     0.23361   -0.81166
     0.21675   -0.86202
     0.20017   -0.91333
     0.18395   -0.97097
     0.16817   -1.06582
     0.15291   -1.30355
     0.13828   -1.62452
     0.12436   -1.65426
     0.11128   -1.68319
     0.09913   -1.71610
     0.08797   -1.75745
     0.07782   -1.81135
     0.06865   -1.87915
     0.06043   -1.95910
     0.05308   -2.04659
     0.04652   -2.13450
     0.04067   -2.21666
     0.03544   -2.28774
     0.03077   -2.34607
     0.02657   -2.39228
     0.02281   -2.42125
     0.01944   -2.43020
     0.01642   -2.41933
     0.01373   -2.38504
     0.01134   -2.32430
     0.00922   -2.23442
     0.00735   -2.11443
     0.00569   -1.97276
     0.00425   -1.82769
     0.00303   -1.68192
     0.00202   -1.52475
     0.00122   -1.35006
     0.00063   -1.15204
     0.00023   -0.92621
     0.00003   -0.66542
     0.00003   -0.36473
     0.00023   -0.05781
     0.00063    0.21752
     0.00122    0.45026
     0.00202    0.63765
     0.00303    0.78128
     0.00425    0.88491
     0.00569    0.95275
     0.00735    0.99070
     0.00922    1.00318
     0.01134    0.99447
     0.01373    0.96825
     0.01642    0.92853
     0.01944    0.87806
     0.02281    0.82037
     0.02657    0.75787
     0.03077    0.69327
     0.03544    0.62730
     0.04067    0.56194
     0.04652    0.49908
     0.05308    0.43906
     0.06043    0.38198
     0.06865    0.32964
     0.07782    0.28348
     0.08797    0.24233
     0.09913    0.20649
     0.11128    0.17669
     0.12436    0.15288
     0.13828    0.13338
     0.15291    0.11818
     0.16817    0.10714
     0.18395    0.09924
     0.20017    0.09376
     0.21675    0.09038
     0.23361    0.08869
     0.25069    0.08781
     0.26785    0.08666
     0.28494    0.08953
     0.30188    0.09108
     0.31872    0.08138
     0.33552    0.06455
     0.35239    0.04779
     0.36942    0.03820
     0.38668    0.03312
     0.40416    0.02967
     0.42173    0.02600
     0.43930    0.02275
     0.45686    0.02053
     0.47445    0.01950
     0.49211    0.01920
     0.50984    0.01918
     0.52759    0.01929
     0.54535    0.01967
     0.56312    0.02043
     0.58091    0.02154
     0.59872    0.02291
     0.61654    0.02445
     0.63437    0.02622
     0.65220    0.02831
     0.67003    0.03077
     0.68788    0.03359
     0.70573    0.03673
     0.72360    0.04018
     0.74146    0.04399
     0.75932    0.04820
     0.77718    0.05284
     0.79502    0.05796
     0.81285    0.06359
     0.83065    0.06978
     0.84841    0.07651
     0.86606    0.08367
     0.88357    0.09098
     0.90091    0.09809
     0.91805    0.10457
     0.93479    0.11006
     0.95072    0.11450
     0.96541    0.11812
     0.97870    0.12090
     0.99062    0.12297
     1.00000    0.12444
