#      x          Cp  
     1.00000    0.13619
     0.99062    0.12081
     0.97870    0.10020
     0.96541    0.07917
     0.95072    0.05777
     0.93479    0.03664
     0.91805    0.01635
     0.90091   -0.00277
     0.88357   -0.02078
     0.86606   -0.03783
     0.84841   -0.05399
     0.83065   -0.06931
     0.81285   -0.08395
     0.79502   -0.09805
     0.77718   -0.11176
     0.75932   -0.12512
     0.74146   -0.13822
     0.72360   -0.15111
     0.70573   -0.16385
     0.68788   -0.17651
     0.67003   -0.18907
     0.65220   -0.20147
     0.63437   -0.21362
     0.61654   -0.22562
     0.59872   -0.23767
     0.58091   -0.24993
     0.56312   -0.26220
     0.54535   -0.27433
     0.52759   -0.28623
     0.50984   -0.29812
     0.49211   -0.31038
     0.47445   -0.32287
     0.45686   -0.33471
     0.43930   -0.34476
     0.42173   -0.35315
     0.40416   -0.36110
     0.38668   -0.36989
     0.36942   -0.37620
     0.35239   -0.37510
     0.33552   -0.36377
     0.31872   -0.37240
     0.30188   -0.45072
     0.28494   -0.56735
     0.26785   -0.58510
     0.25069   -0.60325
     0.23361   -0.62250
     0.21675   -0.64400
     0.20017   -0.66889
     0.18395   -0.69814
     0.16817   -0.73213
     0.15291   -0.77150
     0.13828   -0.81581
     0.12436   -0.86367
     0.11128   -0.91353
     0.09913   -0.96267
     0.08797   -1.00917
     0.07782   -1.05206
     0.06865   -1.09037
     0.06043   -1.12040
     0.05308   -1.14180
     0.04652   -1.15575
     0.04067   -1.16004
     0.03544   -1.15189
     0.03077   -1.13186
     0.02657   -1.10129
     0.02281   -1.05604
     0.01944   -0.99507
     0.01642   -0.91978
     0.01373   -0.82888
     0.01134   -0.72186
     0.00922   -0.59843
     0.00735   -0.45897
     0.00569   -0.30955
     0.00425   -0.16111
     0.00303   -0.01600
     0.00202    0.12910
     0.00122    0.27431
     0.00063    0.41881
     0.00023    0.55998
     0.00003    0.69368
     0.00003    0.81434
     0.00023    0.90832
     0.00063    0.96973
     0.00122    0.99921
     0.00202    1.00058
     0.00303    0.97751
     0.00425    0.93416
     0.00569    0.87326
     0.00735    0.79858
     0.00922    0.71415
     0.01134    0.62469
     0.01373    0.53271
     0.01642    0.44078
     0.01944    0.35092
     0.02281    0.26457
     0.02657    0.18403
     0.03077    0.11033
     0.03544    0.04211
     0.04067   -0.01905
     0.04652   -0.07170
     0.05308   -0.11699
     0.06043   -0.15604
     0.06865   -0.18721
     0.07782   -0.20961
     0.08797   -0.22586
     0.09913   -0.23626
     0.11128   -0.24060
     0.12436   -0.23949
     0.13828   -0.23525
     0.15291   -0.22806
     0.16817   -0.21822
     0.18395   -0.20681
     0.20017   -0.19455
     0.21675   -0.18168
     0.23361   -0.16859
     0.25069   -0.15602
     0.26785   -0.14484
     0.28494   -0.13165
     0.30188   -0.12111
     0.31872   -0.12118
     0.33552   -0.12900
     0.35239   -0.13794
     0.36942   -0.14058
     0.38668   -0.13909
     0.40416   -0.13620
     0.42173   -0.13358
     0.43930   -0.13060
     0.45686   -0.12670
     0.47445   -0.12179
     0.49211   -0.11629
     0.50984   -0.11059
     0.52759   -0.10480
     0.54535   -0.09882
     0.56312   -0.09254
     0.58091   -0.08601
     0.59872   -0.07927
     0.61654   -0.07237
     0.63437   -0.06529
     0.65220   -0.05798
     0.67003   -0.05042
     0.68788   -0.04271
     0.70573   -0.03494
     0.72360   -0.02723
     0.74146   -0.01973
     0.75932   -0.01260
     0.77718   -0.00600
     0.79502   -0.00003
     0.81285    0.00536
     0.83065    0.01028
     0.84841    0.01459
     0.86606    0.01828
     0.88357    0.02138
     0.90091    0.02397
     0.91805    0.02613
     0.93479    0.02796
     0.95072    0.02952
     0.96541    0.03089
     0.97870    0.05273
     0.99062    0.10115
     1.00000    0.13619
