#      x          Cp  
     1.00000    0.13039
     0.99062    0.11926
     0.97870    0.10421
     0.96541    0.08708
     0.95072    0.06785
     0.93479    0.04689
     0.91805    0.02492
     0.90091    0.00260
     0.88357   -0.01975
     0.86606   -0.04202
     0.84841   -0.06408
     0.83065   -0.08585
     0.81285   -0.10728
     0.79502   -0.12841
     0.77718   -0.14932
     0.75932   -0.17003
     0.74146   -0.19060
     0.72360   -0.21108
     0.70573   -0.23153
     0.68788   -0.25202
     0.67003   -0.27256
     0.65220   -0.29313
     0.63437   -0.31369
     0.61654   -0.33437
     0.59872   -0.35532
     0.58091   -0.37670
     0.56312   -0.39843
     0.54535   -0.42043
     0.52759   -0.44269
     0.50984   -0.46546
     0.49211   -0.48908
     0.47445   -0.51352
     0.45686   -0.53817
     0.43930   -0.56224
     0.42173   -0.58603
     0.40416   -0.61076
     0.38668   -0.63835
     0.36942   -0.66626
     0.35239   -0.68946
     0.33552   -0.70053
     0.31872   -0.70839
     0.30188   -0.72618
     0.28494   -0.77257
     0.26785   -0.82952
     0.25069   -0.88272
     0.23361   -0.94320
     0.21675   -1.00911
     0.20017   -1.07880
     0.18395   -1.15136
     0.16817   -1.22650
     0.15291   -1.30682
     0.13828   -1.41645
     0.12436   -1.65728
     0.11128   -2.16773
     0.09913   -2.26826
     0.08797   -2.29827
     0.07782   -2.33026
     0.06865   -2.36944
     0.06043   -2.42157
     0.05308   -2.49105
     0.04652   -2.57715
     0.04067   -2.67809
     0.03544   -2.78544
     0.03077   -2.88812
     0.02657   -2.98088
     0.02281   -3.05684
     0.01944   -3.11160
     0.01642   -3.14435
     0.01373   -3.15059
     0.01134   -3.12633
     0.00922   -3.06802
     0.00735   -2.97431
     0.00569   -2.85465
     0.00425   -2.73058
     0.00303   -2.60515
     0.00202   -2.46428
     0.00122   -2.29871
     0.00063   -2.09882
     0.00023   -1.85496
     0.00003   -1.55232
     0.00003   -1.17659
     0.00023   -0.77047
     0.00063   -0.39007
     0.00122   -0.05410
     0.00202    0.23021
     0.00303    0.46245
     0.00425    0.64533
     0.00569    0.78237
     0.00735    0.88156
     0.00922    0.94843
     0.01134    0.98758
     0.01373    1.00268
     0.01642    0.99789
     0.01944    0.97666
     0.02281    0.94276
     0.02657    0.89895
     0.03077    0.84861
     0.03544    0.79306
     0.04067    0.73481
     0.04652    0.67574
     0.05308    0.61695
     0.06043    0.55904
     0.06865    0.50390
     0.07782    0.45317
     0.08797    0.40635
     0.09913    0.36404
     0.11128    0.32717
     0.12436    0.29597
     0.13828    0.26913
     0.15291    0.24674
     0.16817    0.22876
     0.18395    0.21427
     0.20017    0.20258
     0.21675    0.19340
     0.23361    0.18630
     0.25069    0.18044
     0.26785    0.17469
     0.28494    0.17341
     0.30188    0.17138
     0.31872    0.15843
     0.33552    0.13872
     0.35239    0.11935
     0.36942    0.10715
     0.38668    0.09948
     0.40416    0.09346
     0.42173    0.08725
     0.43930    0.08146
     0.45686    0.07670
     0.47445    0.07317
     0.49211    0.07040
     0.50984    0.06794
     0.52759    0.06563
     0.54535    0.06361
     0.56312    0.06199
     0.58091    0.06075
     0.59872    0.05977
     0.61654    0.05896
     0.63437    0.05836
     0.65220    0.05807
     0.67003    0.05813
     0.68788    0.05852
     0.70573    0.05918
     0.72360    0.06009
     0.74146    0.06127
     0.75932    0.06275
     0.77718    0.06455
     0.79502    0.06673
     0.81285    0.06931
     0.83065    0.07237
     0.84841    0.07603
     0.86606    0.08036
     0.88357    0.08538
     0.90091    0.09110
     0.91805    0.09745
     0.93479    0.10430
     0.95072    0.11120
     0.96541    0.11760
     0.97870    0.12304
     0.99062    0.12746
     1.00000    0.13039
