#      x          Cp  
     1.00000    0.17825
     0.99062    0.15942
     0.97870    0.13542
     0.96541    0.11154
     0.95072    0.08787
     0.93479    0.06503
     0.91805    0.04361
     0.90091    0.02386
     0.88357    0.00556
     0.86606   -0.01148
     0.84841   -0.02742
     0.83065   -0.04234
     0.81285   -0.05643
     0.79502   -0.06988
     0.77718   -0.08283
     0.75932   -0.09536
     0.74146   -0.10753
     0.72360   -0.11940
     0.70573   -0.13103
     0.68788   -0.14250
     0.67003   -0.15377
     0.65220   -0.16476
     0.63437   -0.17536
     0.61654   -0.18569
     0.59872   -0.19592
     0.58091   -0.20623
     0.56312   -0.21647
     0.54535   -0.22659
     0.52759   -0.23614
     0.50984   -0.24609
     0.49211   -0.25686
     0.47445   -0.26863
     0.45686   -0.28250
     0.43930   -0.30031
     0.42173   -0.32325
     0.40416   -0.34760
     0.38668   -0.36143
     0.36942   -0.36829
     0.35239   -0.37701
     0.33552   -0.38831
     0.31872   -0.40285
     0.30188   -0.41847
     0.28494   -0.43492
     0.26785   -0.45306
     0.25069   -0.47343
     0.23361   -0.49626
     0.21675   -0.52201
     0.20017   -0.55108
     0.18395   -0.58359
     0.16817   -0.61927
     0.15291   -0.65742
     0.13828   -0.69691
     0.12436   -0.73691
     0.11128   -0.77682
     0.09913   -0.81425
     0.08797   -0.84788
     0.07782   -0.87717
     0.06865   -0.90135
     0.06043   -0.91677
     0.05308   -0.92341
     0.04652   -0.92259
     0.04067   -0.91221
     0.03544   -0.88977
     0.03077   -0.85602
     0.02657   -0.81235
     0.02281   -0.75509
     0.01944   -0.68360
     0.01642   -0.59949
     0.01373   -0.50206
     0.01134   -0.39137
     0.00922   -0.26773
     0.00735   -0.13197
     0.00569    0.01036
     0.00425    0.14992
     0.00303    0.28436
     0.00202    0.41540
     0.00122    0.54199
     0.00063    0.66229
     0.00023    0.77254
     0.00003    0.86817
     0.00003    0.94262
     0.00023    0.98823
     0.00063    1.00320
     0.00122    0.99082
     0.00202    0.95481
     0.00303    0.89956
     0.00425    0.82786
     0.00569    0.74276
     0.00735    0.64653
     0.00922    0.54492
     0.01134    0.44213
     0.01373    0.34061
     0.01642    0.24237
     0.01944    0.14908
     0.02281    0.06171
     0.02657   -0.01760
     0.03077   -0.08818
     0.03544   -0.15196
     0.04067   -0.20743
     0.04652   -0.25326
     0.05308   -0.29095
     0.06043   -0.32191
     0.06865   -0.34453
     0.07782   -0.35811
     0.08797   -0.36558
     0.09913   -0.36735
     0.11128   -0.36338
     0.12436   -0.35439
     0.13828   -0.34282
     0.15291   -0.32887
     0.16817   -0.31286
     0.18395   -0.29588
     0.20017   -0.27859
     0.21675   -0.26122
     0.23361   -0.24414
     0.25069   -0.22800
     0.26785   -0.21355
     0.28494   -0.19789
     0.30188   -0.18513
     0.31872   -0.18226
     0.33552   -0.18720
     0.35239   -0.19383
     0.36942   -0.19470
     0.38668   -0.19166
     0.40416   -0.18731
     0.42173   -0.18327
     0.43930   -0.17893
     0.45686   -0.17375
     0.47445   -0.16763
     0.49211   -0.16101
     0.50984   -0.15426
     0.52759   -0.14747
     0.54535   -0.14056
     0.56312   -0.13345
     0.58091   -0.12617
     0.59872   -0.11879
     0.61654   -0.11136
     0.63437   -0.10387
     0.65220   -0.09628
     0.67003   -0.08861
     0.68788   -0.08094
     0.70573   -0.07336
     0.72360   -0.06595
     0.74146   -0.05882
     0.75932   -0.05204
     0.77718   -0.04569
     0.79502   -0.03981
     0.81285   -0.03439
     0.83065   -0.02935
     0.84841   -0.02468
     0.86606   -0.02045
     0.88357   -0.01662
     0.90091   -0.01315
     0.91805   -0.00995
     0.93479   -0.00692
     0.95072    0.00809
     0.96541    0.06413
     0.97870    0.11376
     0.99062    0.15169
     1.00000    0.17825
