#      x          Cp  
     1.00000    0.12854
     0.99062    0.11824
     0.97870    0.10425
     0.96541    0.08814
     0.95072    0.06985
     0.93479    0.04969
     0.91805    0.02829
     0.90091    0.00631
     0.88357   -0.01591
     0.86606   -0.03824
     0.84841   -0.06053
     0.83065   -0.08266
     0.81285   -0.10458
     0.79502   -0.12629
     0.77718   -0.14783
     0.75932   -0.16924
     0.74146   -0.19055
     0.72360   -0.21180
     0.70573   -0.23305
     0.68788   -0.25437
     0.67003   -0.27576
     0.65220   -0.29719
     0.63437   -0.31866
     0.61654   -0.34027
     0.59872   -0.36217
     0.58091   -0.38452
     0.56312   -0.40725
     0.54535   -0.43028
     0.52759   -0.45362
     0.50984   -0.47750
     0.49211   -0.50227
     0.47445   -0.52789
     0.45686   -0.55377
     0.43930   -0.57917
     0.42173   -0.60438
     0.40416   -0.63059
     0.38668   -0.65965
     0.36942   -0.68908
     0.35239   -0.71397
     0.33552   -0.72712
     0.31872   -0.73724
     0.30188   -0.75729
     0.28494   -0.80565
     0.26785   -0.86500
     0.25069   -0.92133
     0.23361   -0.98545
     0.21675   -1.05572
     0.20017   -1.13077
     0.18395   -1.20994
     0.16817   -1.29292
     0.15291   -1.37919
     0.13828   -1.47579
     0.12436   -1.63129
     0.11128   -1.98581
     0.09913   -2.48105
     0.08797   -2.51385
     0.07782   -2.54447
     0.06865   -2.57859
     0.06043   -2.62191
     0.05308   -2.68003
     0.04652   -2.75716
     0.04067   -2.85184
     0.03544   -2.96163
     0.03077   -3.07562
     0.02657   -3.18410
     0.02281   -3.27764
     0.01944   -3.35021
     0.01642   -3.40013
     0.01373   -3.42252
     0.01134   -3.41303
     0.00922   -3.36787
     0.00735   -3.28558
     0.00569   -3.17595
     0.00425   -3.06162
     0.00303   -2.94581
     0.00202   -2.81327
     0.00122   -2.65363
     0.00063   -2.45584
     0.00023   -2.20823
     0.00003   -1.89299
     0.00003   -1.49208
     0.00023   -1.05125
     0.00063   -0.63343
     0.00122   -0.26031
     0.00202    0.05915
     0.00303    0.32371
     0.00425    0.53555
     0.00569    0.69791
     0.00735    0.81958
     0.00922    0.90656
     0.01134    0.96369
     0.01373    0.99441
     0.01642    1.00318
     0.01944    0.99350
     0.02281    0.96911
     0.02657    0.93318
     0.03077    0.88891
     0.03544    0.83824
     0.04067    0.78352
     0.04652    0.72686
     0.05308    0.66949
     0.06043    0.61223
     0.06865    0.55699
     0.07782    0.50548
     0.08797    0.45743
     0.09913    0.41354
     0.11128    0.37482
     0.12436    0.34159
     0.13828    0.31267
     0.15291    0.28820
     0.16817    0.26818
     0.18395    0.25171
     0.20017    0.23814
     0.21675    0.22719
     0.23361    0.21842
     0.25069    0.21102
     0.26785    0.20383
     0.28494    0.20123
     0.30188    0.19806
     0.31872    0.18414
     0.33552    0.16361
     0.35239    0.14347
     0.36942    0.13048
     0.38668    0.12199
     0.40416    0.11517
     0.42173    0.10816
     0.43930    0.10155
     0.45686    0.09599
     0.47445    0.09167
     0.49211    0.08812
     0.50984    0.08488
     0.52759    0.08180
     0.54535    0.07903
     0.56312    0.07666
     0.58091    0.07467
     0.59872    0.07296
     0.61654    0.07141
     0.63437    0.07008
     0.65220    0.06904
     0.67003    0.06837
     0.68788    0.06801
     0.70573    0.06792
     0.72360    0.06805
     0.74146    0.06844
     0.75932    0.06910
     0.77718    0.07007
     0.79502    0.07136
     0.81285    0.07302
     0.83065    0.07512
     0.84841    0.07776
     0.86606    0.08104
     0.88357    0.08499
     0.90091    0.08964
     0.91805    0.09501
     0.93479    0.10107
     0.95072    0.10756
     0.96541    0.11403
     0.97870    0.11997
     0.99062    0.12523
     1.00000    0.12854
