#      x          Cp  
     1.00000    0.11586
     0.99062    0.10173
     0.97870    0.08218
     0.96541    0.06214
     0.95072    0.04160
     0.93479    0.02113
     0.91805    0.00132
     0.90091   -0.01749
     0.88357   -0.03534
     0.86606   -0.05234
     0.84841   -0.06854
     0.83065   -0.08398
     0.81285   -0.09879
     0.79502   -0.11313
     0.77718   -0.12711
     0.75932   -0.14079
     0.74146   -0.15424
     0.72360   -0.16752
     0.70573   -0.18068
     0.68788   -0.19379
     0.67003   -0.20684
     0.65220   -0.21976
     0.63437   -0.23246
     0.61654   -0.24507
     0.59872   -0.25776
     0.58091   -0.27069
     0.56312   -0.28371
     0.54535   -0.29663
     0.52759   -0.30940
     0.50984   -0.32224
     0.49211   -0.33556
     0.47445   -0.34923
     0.45686   -0.36242
     0.43930   -0.37405
     0.42173   -0.38428
     0.40416   -0.39438
     0.38668   -0.40637
     0.36942   -0.41694
     0.35239   -0.41994
     0.33552   -0.40789
     0.31872   -0.39468
     0.30188   -0.40246
     0.28494   -0.46612
     0.26785   -0.60601
     0.25069   -0.68553
     0.23361   -0.70523
     0.21675   -0.72540
     0.20017   -0.74766
     0.18395   -0.77356
     0.16817   -0.80455
     0.15291   -0.84136
     0.13828   -0.88440
     0.12436   -0.93350
     0.11128   -0.98703
     0.09913   -1.04181
     0.08797   -1.09513
     0.07782   -1.14548
     0.06865   -1.19165
     0.06043   -1.22988
     0.05308   -1.25962
     0.04652   -1.28194
     0.04067   -1.29459
     0.03544   -1.29468
     0.03077   -1.28265
     0.02657   -1.25980
     0.02281   -1.22179
     0.01944   -1.16735
     0.01642   -1.09775
     0.01373   -1.01142
     0.01134   -0.90752
     0.00922   -0.78542
     0.00735   -0.64531
     0.00569   -0.49353
     0.00425   -0.34195
     0.00303   -0.19289
     0.00202   -0.04217
     0.00122    0.11098
     0.00063    0.26651
     0.00023    0.42210
     0.00003    0.57507
     0.00003    0.71931
     0.00023    0.83992
     0.00063    0.92641
     0.00122    0.97963
     0.00202    1.00191
     0.00303    0.99747
     0.00425    0.97001
     0.00569    0.92353
     0.00735    0.86083
     0.00922    0.78692
     0.01134    0.70537
     0.01373    0.61964
     0.01642    0.53211
     0.01944    0.44515
     0.02281    0.36037
     0.02657    0.28017
     0.03077    0.20574
     0.03544    0.13607
     0.04067    0.07273
     0.04652    0.01724
     0.05308   -0.03133
     0.06043   -0.07399
     0.06865   -0.10905
     0.07782   -0.13555
     0.08797   -0.15593
     0.09913   -0.17043
     0.11128   -0.17876
     0.12436   -0.18145
     0.13828   -0.18078
     0.15291   -0.17690
     0.16817   -0.17009
     0.18395   -0.16145
     0.20017   -0.15169
     0.21675   -0.14108
     0.23361   -0.13002
     0.25069   -0.11926
     0.26785   -0.10973
     0.28494   -0.09785
     0.30188   -0.08846
     0.31872   -0.08989
     0.33552   -0.09898
     0.35239   -0.10897
     0.36942   -0.11247
     0.38668   -0.11175
     0.40416   -0.10959
     0.42173   -0.10768
     0.43930   -0.10539
     0.45686   -0.10215
     0.47445   -0.09785
     0.49211   -0.09294
     0.50984   -0.08779
     0.52759   -0.08254
     0.54535   -0.07705
     0.56312   -0.07123
     0.58091   -0.06512
     0.59872   -0.05875
     0.61654   -0.05219
     0.63437   -0.04538
     0.65220   -0.03828
     0.67003   -0.03086
     0.68788   -0.02320
     0.70573   -0.01540
     0.72360   -0.00759
     0.74146    0.00008
     0.75932    0.00739
     0.77718    0.01414
     0.79502    0.02020
     0.81285    0.02560
     0.83065    0.03048
     0.84841    0.03468
     0.86606    0.03817
     0.88357    0.04101
     0.90091    0.04330
     0.91805    0.04512
     0.93479    0.04656
     0.95072    0.04771
     0.96541    0.04863
     0.97870    0.04943
     0.99062    0.07765
     1.00000    0.11586
