#      x          Cp  
     1.00000    0.09545
     0.99062    0.08934
     0.97870    0.08086
     0.96541    0.07062
     0.95072    0.05841
     0.93479    0.04421
     0.91805    0.02830
     0.90091    0.01105
     0.88357   -0.00730
     0.86606   -0.02664
     0.84841   -0.04684
     0.83065   -0.06775
     0.81285   -0.08924
     0.79502   -0.11122
     0.77718   -0.13364
     0.75932   -0.15645
     0.74146   -0.17961
     0.72360   -0.20311
     0.70573   -0.22694
     0.68788   -0.25110
     0.67003   -0.27559
     0.65220   -0.30036
     0.63437   -0.32541
     0.61654   -0.35079
     0.59872   -0.37663
     0.58091   -0.40304
     0.56312   -0.42998
     0.54535   -0.45741
     0.52759   -0.48537
     0.50984   -0.51406
     0.49211   -0.54373
     0.47445   -0.57438
     0.45686   -0.60556
     0.43930   -0.63673
     0.42173   -0.66816
     0.40416   -0.70081
     0.38668   -0.73610
     0.36942   -0.77195
     0.35239   -0.80429
     0.33552   -0.82738
     0.31872   -0.84847
     0.30188   -0.87890
     0.28494   -0.93466
     0.26785   -1.00261
     0.25069   -1.07111
     0.23361   -1.14897
     0.21675   -1.23533
     0.20017   -1.32956
     0.18395   -1.43186
     0.16817   -1.54288
     0.15291   -1.66211
     0.13828   -1.78762
     0.12436   -1.92071
     0.11128   -2.07303
     0.09913   -2.28718
     0.08797   -2.68896
     0.07782   -3.36707
     0.06865   -3.62415
     0.06043   -3.65379
     0.05308   -3.68347
     0.04652   -3.71842
     0.04067   -3.76488
     0.03544   -3.83065
     0.03077   -3.92274
     0.02657   -4.04073
     0.02281   -4.18285
     0.01944   -4.33209
     0.01642   -4.46831
     0.01373   -4.57672
     0.01134   -4.64821
     0.00922   -4.67702
     0.00735   -4.66121
     0.00569   -4.61189
     0.00425   -4.55594
     0.00303   -4.49768
     0.00202   -4.41758
     0.00122   -4.30036
     0.00063   -4.12827
     0.00023   -3.87987
     0.00003   -3.52294
     0.00003   -3.02046
     0.00023   -2.43063
     0.00063   -1.84830
     0.00122   -1.30947
     0.00202   -0.83166
     0.00303   -0.42042
     0.00425   -0.07671
     0.00569    0.20135
     0.00735    0.42542
     0.00922    0.60614
     0.01134    0.74712
     0.01373    0.85299
     0.01642    0.92716
     0.01944    0.97441
     0.02281    0.99816
     0.02657    1.00274
     0.03077    0.99158
     0.03544    0.96801
     0.04067    0.93445
     0.04652    0.89384
     0.05308    0.84785
     0.06043    0.79837
     0.06865    0.74722
     0.07782    0.69660
     0.08797    0.64710
     0.09913    0.59989
     0.11128    0.55628
     0.12436    0.51700
     0.13828    0.48151
     0.15291    0.45015
     0.16817    0.42310
     0.18395    0.39968
     0.20017    0.37936
     0.21675    0.36192
     0.23361    0.34698
     0.25069    0.33378
     0.26785    0.32122
     0.28494    0.31349
     0.30188    0.30588
     0.31872    0.28840
     0.33552    0.26492
     0.35239    0.24204
     0.36942    0.22602
     0.38668    0.21438
     0.40416    0.20437
     0.42173    0.19418
     0.43930    0.18437
     0.45686    0.17559
     0.47445    0.16807
     0.49211    0.16136
     0.50984    0.15500
     0.52759    0.14883
     0.54535    0.14298
     0.56312    0.13758
     0.58091    0.13258
     0.59872    0.12787
     0.61654    0.12333
     0.63437    0.11901
     0.65220    0.11497
     0.67003    0.11129
     0.68788    0.10790
     0.70573    0.10473
     0.72360    0.10174
     0.74146    0.09894
     0.75932    0.09632
     0.77718    0.09390
     0.79502    0.09168
     0.81285    0.08967
     0.83065    0.08791
     0.84841    0.08648
     0.86606    0.08547
     0.88357    0.08489
     0.90091    0.08476
     0.91805    0.08511
     0.93479    0.08605
     0.95072    0.08768
     0.96541    0.08999
     0.97870    0.09269
     0.99062    0.09623
     1.00000    0.09545
