#      x          Cp  
     1.00000    0.11326
     0.99062    0.10540
     0.97870    0.09459
     0.96541    0.08180
     0.95072    0.06687
     0.93479    0.04987
     0.91805    0.03126
     0.90091    0.01154
     0.88357   -0.00898
     0.86606   -0.03017
     0.84841   -0.05186
     0.83065   -0.07389
     0.81285   -0.09614
     0.79502   -0.11856
     0.77718   -0.14112
     0.75932   -0.16380
     0.74146   -0.18660
     0.72360   -0.20954
     0.70573   -0.23262
     0.68788   -0.25589
     0.67003   -0.27934
     0.65220   -0.30296
     0.63437   -0.32672
     0.61654   -0.35072
     0.59872   -0.37510
     0.58091   -0.39999
     0.56312   -0.42534
     0.54535   -0.45110
     0.52759   -0.47730
     0.50984   -0.50414
     0.49211   -0.53194
     0.47445   -0.56066
     0.45686   -0.58981
     0.43930   -0.61877
     0.42173   -0.64778
     0.40416   -0.67795
     0.38668   -0.71086
     0.36942   -0.74425
     0.35239   -0.77369
     0.33552   -0.79284
     0.31872   -0.80957
     0.30188   -0.83596
     0.28494   -0.88901
     0.26785   -0.95389
     0.25069   -1.01795
     0.23361   -1.09081
     0.21675   -1.17135
     0.20017   -1.25868
     0.18395   -1.35277
     0.16817   -1.45393
     0.15291   -1.56130
     0.13828   -1.67332
     0.12436   -1.79616
     0.11128   -1.96307
     0.09913   -2.27562
     0.08797   -2.85360
     0.07782   -3.17412
     0.06865   -3.20452
     0.06043   -3.23463
     0.05308   -3.26983
     0.04652   -3.31568
     0.04067   -3.37931
     0.03544   -3.46685
     0.03077   -3.57650
     0.02657   -3.70630
     0.02281   -3.84223
     0.01944   -3.96637
     0.01642   -4.06900
     0.01373   -4.14203
     0.01134   -4.17951
     0.00922   -4.17690
     0.00735   -4.13254
     0.00569   -4.05709
     0.00425   -3.97590
     0.00303   -3.89282
     0.00202   -3.78978
     0.00122   -3.65337
     0.00063   -3.46847
     0.00023   -3.21756
     0.00003   -2.87417
     0.00003   -2.40901
     0.00023   -1.87568
     0.00063   -1.35645
     0.00122   -0.88161
     0.00202   -0.46523
     0.00303   -0.11106
     0.00425    0.18124
     0.00569    0.41418
     0.00735    0.59832
     0.00922    0.74209
     0.01134    0.85018
     0.01373    0.92595
     0.01642    0.97421
     0.01944    0.99834
     0.02281    1.00260
     0.02657    0.99051
     0.03077    0.96566
     0.03544    0.93054
     0.04067    0.88802
     0.04652    0.84015
     0.05308    0.78898
     0.06043    0.73559
     0.06865    0.68210
     0.07782    0.63036
     0.08797    0.58072
     0.09913    0.53415
     0.11128    0.49184
     0.12436    0.45437
     0.13828    0.42094
     0.15291    0.39183
     0.16817    0.36713
     0.18395    0.34607
     0.20017    0.32808
     0.21675    0.31290
     0.23361    0.30013
     0.25069    0.28897
     0.26785    0.27832
     0.28494    0.27244
     0.30188    0.26643
     0.31872    0.25020
     0.33552    0.22775
     0.35239    0.20583
     0.36942    0.19090
     0.38668    0.18040
     0.40416    0.17157
     0.42173    0.16254
     0.43930    0.15392
     0.45686    0.14633
     0.47445    0.13999
     0.49211    0.13445
     0.50984    0.12925
     0.52759    0.12424
     0.54535    0.11954
     0.56312    0.11527
     0.58091    0.11140
     0.59872    0.10781
     0.61654    0.10440
     0.63437    0.10120
     0.65220    0.09829
     0.67003    0.09575
     0.68788    0.09350
     0.70573    0.09150
     0.72360    0.08969
     0.74146    0.08810
     0.75932    0.08673
     0.77718    0.08559
     0.79502    0.08471
     0.81285    0.08410
     0.83065    0.08380
     0.84841    0.08393
     0.86606    0.08456
     0.88357    0.08574
     0.90091    0.08749
     0.91805    0.08987
     0.93479    0.09299
     0.95072    0.09686
     0.96541    0.10135
     0.97870    0.10610
     0.99062    0.11125
     1.00000    0.11326
