#      x          Cp  
     1.00000    0.08109
     0.99062    0.07617
     0.97870    0.06927
     0.96541    0.06079
     0.95072    0.05051
     0.93479    0.03833
     0.91805    0.02442
     0.90091    0.00908
     0.88357   -0.00751
     0.86606   -0.02528
     0.84841   -0.04411
     0.83065   -0.06388
     0.81285   -0.08446
     0.79502   -0.10575
     0.77718   -0.12770
     0.75932   -0.15023
     0.74146   -0.17331
     0.72360   -0.19689
     0.70573   -0.22095
     0.68788   -0.24547
     0.67003   -0.27042
     0.65220   -0.29578
     0.63437   -0.32150
     0.61654   -0.34765
     0.59872   -0.37432
     0.58091   -0.40161
     0.56312   -0.42948
     0.54535   -0.45791
     0.52759   -0.48693
     0.50984   -0.51671
     0.49211   -0.54752
     0.47445   -0.57933
     0.45686   -0.61174
     0.43930   -0.64426
     0.42173   -0.67713
     0.40416   -0.71128
     0.38668   -0.74801
     0.36942   -0.78537
     0.35239   -0.81945
     0.33552   -0.84483
     0.31872   -0.86840
     0.30188   -0.90113
     0.28494   -0.95854
     0.26785   -1.02836
     0.25069   -1.09942
     0.23361   -1.18020
     0.21675   -1.26994
     0.20017   -1.36815
     0.18395   -1.47516
     0.16817   -1.59178
     0.15291   -1.71767
     0.13828   -1.85092
     0.12436   -1.99169
     0.11128   -2.14549
     0.09913   -2.33348
     0.08797   -2.64334
     0.07782   -3.23784
     0.06865   -3.88136
     0.06043   -3.91378
     0.05308   -3.94314
     0.04652   -3.97512
     0.04067   -4.01561
     0.03544   -4.07192
     0.03077   -4.15232
     0.02657   -4.26181
     0.02281   -4.39867
     0.01944   -4.55514
     0.01642   -4.70819
     0.01373   -4.83727
     0.01134   -4.92976
     0.00922   -4.97842
     0.00735   -4.98089
     0.00569   -4.94843
     0.00425   -4.90874
     0.00303   -4.86651
     0.00202   -4.80136
     0.00122   -4.69693
     0.00063   -4.53386
     0.00023   -4.28826
     0.00003   -3.92432
     0.00003   -3.40020
     0.00023   -2.77673
     0.00063   -2.15650
     0.00122   -1.57904
     0.00202   -1.06403
     0.00303   -0.61818
     0.00425   -0.24320
     0.00569    0.06216
     0.00735    0.31068
     0.00922    0.51359
     0.01134    0.67523
     0.01373    0.79905
     0.01642    0.88982
     0.01944    0.95100
     0.02281    0.98725
     0.02657    1.00223
     0.03077    0.99993
     0.03544    0.98352
     0.04067    0.95615
     0.04652    0.92005
     0.05308    0.87792
     0.06043    0.83100
     0.06865    0.78181
     0.07782    0.73220
     0.08797    0.68317
     0.09913    0.63591
     0.11128    0.59182
     0.12436    0.55173
     0.13828    0.51524
     0.15291    0.48276
     0.16817    0.45448
     0.18395    0.42981
     0.20017    0.40825
     0.21675    0.38958
     0.23361    0.37346
     0.25069    0.35912
     0.26785    0.34550
     0.28494    0.33674
     0.30188    0.32822
     0.31872    0.31004
     0.33552    0.28600
     0.35239    0.26258
     0.36942    0.24595
     0.38668    0.23365
     0.40416    0.22297
     0.42173    0.21210
     0.43930    0.20160
     0.45686    0.19213
     0.47445    0.18392
     0.49211    0.17653
     0.50984    0.16949
     0.52759    0.16264
     0.54535    0.15612
     0.56312    0.15005
     0.58091    0.14438
     0.59872    0.13901
     0.61654    0.13380
     0.63437    0.12881
     0.65220    0.12409
     0.67003    0.11973
     0.68788    0.11565
     0.70573    0.11178
     0.72360    0.10808
     0.74146    0.10454
     0.75932    0.10116
     0.77718    0.09796
     0.79502    0.09493
     0.81285    0.09205
     0.83065    0.08939
     0.84841    0.08700
     0.86606    0.08496
     0.88357    0.08328
     0.90091    0.08196
     0.91805    0.08100
     0.93479    0.08051
     0.95072    0.08061
     0.96541    0.08133
     0.97870    0.08239
     0.99062    0.08443
     1.00000    0.08109
