#      x          Cp  
     1.00000    0.08349
     0.99062    0.07129
     0.97870    0.05339
     0.96541    0.03486
     0.95072    0.01559
     0.93479   -0.00385
     0.91805   -0.02291
     0.90091   -0.04122
     0.88357   -0.05877
     0.86606   -0.07563
     0.84841   -0.09184
     0.83065   -0.10742
     0.81285   -0.12246
     0.79502   -0.13710
     0.77718   -0.15147
     0.75932   -0.16560
     0.74146   -0.17955
     0.72360   -0.19339
     0.70573   -0.20716
     0.68788   -0.22093
     0.67003   -0.23469
     0.65220   -0.24837
     0.63437   -0.26190
     0.61654   -0.27538
     0.59872   -0.28901
     0.58091   -0.30294
     0.56312   -0.31702
     0.54535   -0.33109
     0.52759   -0.34511
     0.50984   -0.35930
     0.49211   -0.37408
     0.47445   -0.38935
     0.45686   -0.40432
     0.43930   -0.41797
     0.42173   -0.43053
     0.40416   -0.44333
     0.38668   -0.45858
     0.36942   -0.47319
     0.35239   -0.48141
     0.33552   -0.47463
     0.31872   -0.46326
     0.30188   -0.46142
     0.28494   -0.48688
     0.26785   -0.52244
     0.25069   -0.58652
     0.23361   -0.74931
     0.21675   -0.86971
     0.20017   -0.89211
     0.18395   -0.91496
     0.16817   -0.94055
     0.15291   -0.97114
     0.13828   -1.00877
     0.12436   -1.05411
     0.11128   -1.10735
     0.09913   -1.16708
     0.08797   -1.22944
     0.07782   -1.29108
     0.06865   -1.34974
     0.06043   -1.40134
     0.05308   -1.44478
     0.04652   -1.48086
     0.04067   -1.50734
     0.03544   -1.52115
     0.03077   -1.52254
     0.02657   -1.51276
     0.02281   -1.48717
     0.01944   -1.44415
     0.01642   -1.38478
     0.01373   -1.30700
     0.01134   -1.20948
     0.00922   -1.09109
     0.00735   -0.95171
     0.00569   -0.79815
     0.00425   -0.64372
     0.00303   -0.49079
     0.00202   -0.33374
     0.00122   -0.17070
     0.00063   -0.00060
     0.00023    0.17548
     0.00003    0.35613
     0.00003    0.53737
     0.00023    0.69905
     0.00063    0.82666
     0.00122    0.91756
     0.00202    0.97449
     0.00303    1.00042
     0.00425    0.99983
     0.00569    0.97649
     0.00735    0.93455
     0.00922    0.87755
     0.01134    0.81025
     0.01373    0.73533
     0.01642    0.65619
     0.01944    0.57505
     0.02281    0.49405
     0.02657    0.41564
     0.03077    0.34132
     0.03544    0.27052
     0.04067    0.20487
     0.04652    0.14600
     0.05308    0.09326
     0.06043    0.04588
     0.06865    0.00559
     0.07782   -0.02655
     0.08797   -0.05269
     0.09913   -0.07294
     0.11128   -0.08693
     0.12436   -0.09507
     0.13828   -0.09953
     0.15291   -0.10043
     0.16817   -0.09804
     0.18395   -0.09344
     0.20017   -0.08736
     0.21675   -0.08008
     0.23361   -0.07201
     0.25069   -0.06396
     0.26785   -0.05688
     0.28494   -0.04700
     0.30188   -0.03934
     0.31872   -0.04267
     0.33552   -0.05351
     0.35239   -0.06493
     0.36942   -0.06965
     0.38668   -0.07008
     0.40416   -0.06900
     0.42173   -0.06814
     0.43930   -0.06687
     0.45686   -0.06461
     0.47445   -0.06124
     0.49211   -0.05721
     0.50984   -0.05291
     0.52759   -0.04845
     0.54535   -0.04372
     0.56312   -0.03862
     0.58091   -0.03315
     0.59872   -0.02737
     0.61654   -0.02134
     0.63437   -0.01499
     0.65220   -0.00825
     0.67003   -0.00110
     0.68788    0.00642
     0.70573    0.01420
     0.72360    0.02212
     0.74146    0.02999
     0.75932    0.03756
     0.77718    0.04453
     0.79502    0.05072
     0.81285    0.05616
     0.83065    0.06098
     0.84841    0.06502
     0.86606    0.06825
     0.88357    0.07076
     0.90091    0.07265
     0.91805    0.07405
     0.93479    0.07505
     0.95072    0.07572
     0.96541    0.07617
     0.97870    0.07646
     0.99062    0.07668
     1.00000    0.08349
