#      x          Cp  
     1.00000    0.19291
     0.99062    0.17153
     0.97870    0.14490
     0.96541    0.11926
     0.95072    0.09455
     0.93479    0.07135
     0.91805    0.05001
     0.90091    0.03064
     0.88357    0.01293
     0.86606   -0.00336
     0.84841   -0.01840
     0.83065   -0.03231
     0.81285   -0.04527
     0.79502   -0.05746
     0.77718   -0.06906
     0.75932   -0.08011
     0.74146   -0.09073
     0.72360   -0.10106
     0.70573   -0.11139
     0.68788   -0.12230
     0.67003   -0.13473
     0.65220   -0.14958
     0.63437   -0.16706
     0.61654   -0.18866
     0.59872   -0.21246
     0.58091   -0.23422
     0.56312   -0.24492
     0.54535   -0.25079
     0.52759   -0.25773
     0.50984   -0.26537
     0.49211   -0.27359
     0.47445   -0.28218
     0.45686   -0.29085
     0.43930   -0.29927
     0.42173   -0.30751
     0.40416   -0.31592
     0.38668   -0.32486
     0.36942   -0.33348
     0.35239   -0.34103
     0.33552   -0.34859
     0.31872   -0.36023
     0.30188   -0.37563
     0.28494   -0.39312
     0.26785   -0.41256
     0.25069   -0.43408
     0.23361   -0.45806
     0.21675   -0.48466
     0.20017   -0.51392
     0.18395   -0.54566
     0.16817   -0.57959
     0.15291   -0.61508
     0.13828   -0.65113
     0.12436   -0.68712
     0.11128   -0.72262
     0.09913   -0.75519
     0.08797   -0.78364
     0.07782   -0.80752
     0.06865   -0.82610
     0.06043   -0.83579
     0.05308   -0.83667
     0.04652   -0.83012
     0.04067   -0.81411
     0.03544   -0.78623
     0.03077   -0.74734
     0.02657   -0.69881
     0.02281   -0.63721
     0.01944   -0.56207
     0.01642   -0.47507
     0.01373   -0.37572
     0.01134   -0.26434
     0.00922   -0.14148
     0.00735   -0.00816
     0.00569    0.13026
     0.00425    0.26508
     0.00303    0.39392
     0.00202    0.51782
     0.00122    0.63547
     0.00063    0.74431
     0.00023    0.84085
     0.00003    0.91968
     0.00003    0.97522
     0.00023    1.00115
     0.00063    0.99799
     0.00122    0.96918
     0.00202    0.91922
     0.00303    0.85142
     0.00425    0.76954
     0.00569    0.67505
     0.00735    0.57107
     0.00922    0.46310
     0.01134    0.35577
     0.01373    0.25121
     0.01642    0.15127
     0.01944    0.05743
     0.02281   -0.02953
     0.02657   -0.10753
     0.03077   -0.17607
     0.03544   -0.23731
     0.04067   -0.28975
     0.04652   -0.33214
     0.05308   -0.36610
     0.06043   -0.39317
     0.06865   -0.41176
     0.07782   -0.42123
     0.08797   -0.42465
     0.09913   -0.42249
     0.11128   -0.41474
     0.12436   -0.40220
     0.13828   -0.38734
     0.15291   -0.37037
     0.16817   -0.35163
     0.18395   -0.33218
     0.20017   -0.31268
     0.21675   -0.29335
     0.23361   -0.27454
     0.25069   -0.25686
     0.26785   -0.24101
     0.28494   -0.22433
     0.30188   -0.21062
     0.31872   -0.20628
     0.33552   -0.20970
     0.35239   -0.21509
     0.36942   -0.21507
     0.38668   -0.21128
     0.40416   -0.20624
     0.42173   -0.20151
     0.43930   -0.19651
     0.45686   -0.19070
     0.47445   -0.18400
     0.49211   -0.17684
     0.50984   -0.16956
     0.52759   -0.16229
     0.54535   -0.15492
     0.56312   -0.14739
     0.58091   -0.13974
     0.59872   -0.13203
     0.61654   -0.12433
     0.63437   -0.11662
     0.65220   -0.10889
     0.67003   -0.10118
     0.68788   -0.09354
     0.70573   -0.08607
     0.72360   -0.07885
     0.74146   -0.07195
     0.75932   -0.06541
     0.77718   -0.05928
     0.79502   -0.05357
     0.81285   -0.04824
     0.83065   -0.04323
     0.84841   -0.03853
     0.86606   -0.03416
     0.88357   -0.03009
     0.90091   -0.02624
     0.91805   -0.02251
     0.93479    0.01003
     0.95072    0.06341
     0.96541    0.10708
     0.97870    0.14214
     0.99062    0.17140
     1.00000    0.19291
